# SYNTHETIC. Average bunch weight. Back-solved so the estate lands at 23.0 t/ha/yr (mean ~8.01 kg). The real counts imply 34-46 t/ha/yr at a normal 12-16 kg ABW, which is impossible - the OPH export likely double-counts. Ask the client.
division_code,block_code,abw_kg,palm_age_years,abw_note
1,1,8.43,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,2,8.05,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,3,8.5,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,4,8.54,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,5,8.27,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,6,8.61,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,7,8.51,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,8,8.64,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,9,8.7,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,10,8.54,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,11,8.94,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,12,8.91,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,13,8.67,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,14,8.9,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,15,8.94,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,16,8.55,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,17,8.45,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,18,8.23,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,19,8.06,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,20,8.67,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,21,8.55,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,22,8.56,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,23,8.29,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,24,8.66,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,25,8.79,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,26,9.09,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,27,8.31,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,28,8.93,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,29,8.73,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,30,8.18,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,31,8.65,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,32,8.61,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,33,8.12,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,34,8.64,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,35,8.38,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,36,8.37,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,37,8.46,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,38,8.36,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
1,39,8.18,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,40,8.34,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,41,8.24,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,42,8.79,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,43,8.69,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,44,8.77,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,45,8.37,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,46,8.87,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,47,9.08,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,49,8.52,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,50,8.39,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
2,51,8.36,11,"calibrated to 23 t/ha/yr, not an agronomic estimate"
