# SYNTHETIC. Daily attendance per crew. EPMS has t_attendance; the EC export carries none. Calibrated so the division-month rate reproduces ec_labour.csv exactly, including the Lebaran dip; Sundays and heavy-rain days sit below the month, weekdays above it.
crew_code,crew_type,division_code,date,on_roll,present,absent,absent_reason
G1-01,harvest,1,2025-01-01,28,25,3,sick
G1-02,harvest,1,2025-01-01,26,23,3,leave
G1-03,harvest,1,2025-01-01,25,24,1,sick
G1-04,harvest,1,2025-01-01,26,21,5,sick
G2-01,harvest,2,2025-01-01,24,21,3,no show
G2-02,harvest,2,2025-01-01,20,16,4,sick
G2-03,harvest,2,2025-01-01,24,24,0,
G2-04,harvest,2,2025-01-01,25,21,4,leave
G3-01,harvest,3,2025-01-01,27,24,3,sick
G3-02,harvest,3,2025-01-01,24,24,0,
G3-03,harvest,3,2025-01-01,25,25,0,
G3-04,harvest,3,2025-01-01,24,21,3,leave
G4-01,harvest,4,2025-01-01,26,23,3,sick
G4-02,harvest,4,2025-01-01,25,25,0,
G4-03,harvest,4,2025-01-01,24,23,1,no show
G4-04,harvest,4,2025-01-01,20,20,0,
G5-01,harvest,5,2025-01-01,23,23,0,
G5-02,harvest,5,2025-01-01,27,27,0,
G5-03,harvest,5,2025-01-01,19,19,0,
G6-01,harvest,6,2025-01-01,24,21,3,leave
G6-02,harvest,6,2025-01-01,18,18,0,
G6-03,harvest,6,2025-01-01,24,24,0,
G6-04,harvest,6,2025-01-01,24,24,0,
G6-05,harvest,6,2025-01-01,21,20,1,no show
G7-01,harvest,7,2025-01-01,27,24,3,sick
G7-02,harvest,7,2025-01-01,21,21,0,
G7-03,harvest,7,2025-01-01,20,20,0,
G7-04,harvest,7,2025-01-01,27,21,6,leave
P1-01,pest,1,2025-01-01,11,10,1,no show
P2-01,pest,2,2025-01-01,10,9,1,no show
P3-01,pest,3,2025-01-01,11,9,2,leave
P4-01,pest,4,2025-01-01,10,10,0,
P5-01,pest,5,2025-01-01,10,8,2,leave
P6-01,pest,6,2025-01-01,13,11,2,leave
P7-01,pest,7,2025-01-01,13,10,3,sick
S1-01,spray,1,2025-01-01,15,14,1,sick
S2-01,spray,2,2025-01-01,14,13,1,no show
S3-01,spray,3,2025-01-01,17,14,3,leave
S4-01,spray,4,2025-01-01,16,15,1,no show
S5-01,spray,5,2025-01-01,13,11,2,no show
S6-01,spray,6,2025-01-01,18,15,3,leave
S7-01,spray,7,2025-01-01,17,13,4,sick
U1-01,upkeep,1,2025-01-01,19,17,2,sick
U1-02,upkeep,1,2025-01-01,19,15,4,no show
U1-03,upkeep,1,2025-01-01,19,18,1,sick
U2-01,upkeep,2,2025-01-01,18,16,2,sick
U2-02,upkeep,2,2025-01-01,18,16,2,sick
U2-03,upkeep,2,2025-01-01,18,16,2,sick
U3-01,upkeep,3,2025-01-01,16,16,0,
U3-02,upkeep,3,2025-01-01,16,14,2,leave
U3-03,upkeep,3,2025-01-01,16,13,3,no show
U3-04,upkeep,3,2025-01-01,16,14,2,leave
U4-01,upkeep,4,2025-01-01,15,15,0,
U4-02,upkeep,4,2025-01-01,15,13,2,sick
U4-03,upkeep,4,2025-01-01,15,15,0,
U4-04,upkeep,4,2025-01-01,15,14,1,no show
U5-01,upkeep,5,2025-01-01,16,16,0,
U5-02,upkeep,5,2025-01-01,16,15,1,leave
U5-03,upkeep,5,2025-01-01,16,15,1,no show
U6-01,upkeep,6,2025-01-01,17,16,1,leave
U6-02,upkeep,6,2025-01-01,17,14,3,sick
U6-03,upkeep,6,2025-01-01,17,16,1,leave
U6-04,upkeep,6,2025-01-01,17,16,1,no show
U7-01,upkeep,7,2025-01-01,15,12,3,sick
U7-02,upkeep,7,2025-01-01,15,12,3,no show
U7-03,upkeep,7,2025-01-01,15,13,2,leave
U7-04,upkeep,7,2025-01-01,15,12,3,leave
G1-01,harvest,1,2025-01-02,28,25,3,sick
