# SYNTHETIC. Per-block monthly cost in IDR. EPMS routes cost through m_cost_control_mapping but the EC export carries none of it. Structure sums to ~30M IDR/ha/yr.
division_code,block_code,month,harvest_idr,upkeep_idr,fertilizer_idr,transport_idr,overhead_idr,infrastructure_idr,km_to_mill
1,1,2025-01,4061382,3033222,5212676,227879,3200000,1333333,6.26
1,1,2025-02,3833466,3043687,5036714,227879,3200000,1333333,6.26
1,1,2025-03,3661595,3190524,4781734,227879,3200000,1333333,6.26
1,1,2025-04,3878302,3000707,5303576,227879,3200000,1333333,6.26
1,1,2025-05,3231918,3117536,5453843,227879,3200000,1333333,6.26
1,1,2025-06,3733333,2861949,5434610,227879,3200000,1333333,6.26
1,1,2025-07,3733333,2982421,5061925,227879,3200000,1333333,6.26
1,1,2025-08,3733333,3089165,5274783,227879,3200000,1333333,6.26
1,1,2025-09,3733333,3038611,5168752,227879,3200000,1333333,6.26
1,1,2025-10,3733333,3052084,4733603,227879,3200000,1333333,6.26
1,1,2025-11,3733333,2960656,4944338,227879,3200000,1333333,6.26
1,2,2025-01,10819235,7766422,13177295,618145,8744999,3643749,6.19
1,2,2025-02,12964094,7748221,13736177,618145,8744999,3643749,6.19
1,2,2025-03,10425424,8200524,14504250,618145,8744999,3643749,6.19
1,2,2025-04,9075217,8232102,14739569,618145,8744999,3643749,6.19
1,2,2025-05,7728527,8658524,12889907,618145,8744999,3643749,6.19
1,2,2025-06,10202499,8027229,14166196,618145,8744999,3643749,6.19
1,2,2025-07,10202499,8548933,13209247,618145,8744999,3643749,6.19
1,2,2025-08,10202499,8152606,13908477,618145,8744999,3643749,6.19
1,2,2025-09,10202499,8706624,14104418,618145,8744999,3643749,6.19
1,2,2025-10,10202499,8321387,12670979,618145,8744999,3643749,6.19
1,2,2025-11,10202499,8446388,14606424,618145,8744999,3643749,6.19
1,3,2025-01,8489453,6565447,10975954,479939,6910000,2879166,6.02
1,3,2025-02,8823849,6167860,11099252,479939,6910000,2879166,6.02
1,3,2025-03,8079742,5986598,10346364,479939,6910000,2879166,6.02
1,3,2025-04,7281408,6522152,10638346,479939,6910000,2879166,6.02
1,3,2025-05,7633880,6149977,10588928,479939,6910000,2879166,6.02
1,3,2025-06,8061666,6652937,10381023,479939,6910000,2879166,6.02
1,3,2025-07,8061666,6326549,11184491,479939,6910000,2879166,6.02
1,3,2025-08,8061666,6690738,10974575,479939,6910000,2879166,6.02
1,3,2025-09,8061666,6533599,10343410,479939,6910000,2879166,6.02
1,3,2025-10,8061666,6205995,10070837,479939,6910000,2879166,6.02
1,3,2025-11,8061666,6587733,9868094,479939,6910000,2879166,6.02
1,4,2025-01,9299719,6349113,9699712,458491,6730000,2804166,5.83
1,4,2025-02,7983600,6315573,9713966,458491,6730000,2804166,5.83
1,4,2025-03,10220038,6009731,10725917,458491,6730000,2804166,5.83
1,4,2025-04,5518691,6054034,9751190,458491,6730000,2804166,5.83
1,4,2025-05,6236282,6148459,10947129,458491,6730000,2804166,5.83
1,4,2025-06,7851666,6180384,10269310,458491,6730000,2804166,5.83
1,4,2025-07,7851666,6537471,10958005,458491,6730000,2804166,5.83
1,4,2025-08,7851666,5874996,10401036,458491,6730000,2804166,5.83
1,4,2025-09,7851666,6411163,10790110,458491,6730000,2804166,5.83
1,4,2025-10,7851666,6025132,9525010,458491,6730000,2804166,5.83
1,4,2025-11,7851666,6558883,10852829,458491,6730000,2804166,5.83
1,5,2025-01,3435656,4246563,7329266,293036,4385000,1827083,5.65
1,5,2025-02,5022378,4038524,6644377,293036,4385000,1827083,5.65
1,5,2025-03,4276080,4327402,6411847,293036,4385000,1827083,5.65
1,5,2025-04,6888120,4076634,6718358,293036,4385000,1827083,5.65
1,5,2025-05,5956930,4057303,6975935,293036,4385000,1827083,5.65
1,5,2025-06,5115833,4026120,6691784,293036,4385000,1827083,5.65
1,5,2025-07,5115833,3882163,6645984,293036,4385000,1827083,5.65
1,5,2025-08,5115833,3997627,7320789,293036,4385000,1827083,5.65
1,5,2025-09,5115833,4136230,7257924,293036,4385000,1827083,5.65
1,5,2025-10,5115833,3864531,6473555,293036,4385000,1827083,5.65
1,5,2025-11,5115833,4270787,6896788,293036,4385000,1827083,5.65
1,6,2025-01,4109715,3357935,5071431,231366,3515000,1464583,5.51
1,6,2025-02,5390798,3336939,5418132,231366,3515000,1464583,5.51
1,6,2025-03,2312782,3281240,5399387,231366,3515000,1464583,5.51
1,6,2025-04,5175576,3328577,5660557,231366,3515000,1464583,5.51
1,6,2025-05,3515292,3250510,5137456,231366,3515000,1464583,5.51
1,6,2025-06,4100833,3373051,5216936,231366,3515000,1464583,5.51
1,6,2025-07,4100833,3104754,5456598,231366,3515000,1464583,5.51
1,6,2025-08,4100833,3357463,5647861,231366,3515000,1464583,5.51
1,6,2025-09,4100833,3104019,5660098,231366,3515000,1464583,5.51
1,6,2025-10,4100833,3263265,5203621,231366,3515000,1464583,5.51
1,6,2025-11,4100833,3391513,5598497,231366,3515000,1464583,5.51
1,7,2025-01,9539587,7546889,11901410,628688,8070000,3362500,7.19
1,7,2025-02,8268573,7593872,11723066,628688,8070000,3362500,7.19
1,7,2025-03,6165115,7392740,11254894,628688,8070000,3362500,7.19
1,7,2025-04,11908421,7228012,11797485,628688,8070000,3362500,7.19
1,7,2025-05,11193301,7712500,12523593,628688,8070000,3362500,7.19
1,7,2025-06,9415000,7420832,11766932,628688,8070000,3362500,7.19
1,7,2025-07,9415000,7476484,11893392,628688,8070000,3362500,7.19
1,7,2025-08,9415000,7644158,12151867,628688,8070000,3362500,7.19
1,7,2025-09,9415000,7540517,12863297,628688,8070000,3362500,7.19
1,7,2025-10,9415000,7518392,11356860,628688,8070000,3362500,7.19
1,7,2025-11,9415000,6970072,11451608,628688,8070000,3362500,7.19
1,8,2025-01,20285425,13836795,22528473,1209001,15810000,6587500,6.99
1,8,2025-02,20840846,14981159,24125792,1209001,15810000,6587500,6.99
1,8,2025-03,15428980,13916906,22097460,1209001,15810000,6587500,6.99
1,8,2025-04,15373159,14086762,24983224,1209001,15810000,6587500,6.99
1,8,2025-05,20296589,13572933,23264307,1209001,15810000,6587500,6.99
1,8,2025-06,18445000,14143536,24195038,1209001,15810000,6587500,6.99
1,8,2025-07,18445000,13653609,24689075,1209001,15810000,6587500,6.99
1,8,2025-08,18445000,14920937,24550418,1209001,15810000,6587500,6.99
1,8,2025-09,18445000,14858590,23786592,1209001,15810000,6587500,6.99
1,8,2025-10,18445000,13799649,22354245,1209001,15810000,6587500,6.99
1,8,2025-11,18445000,13782267,25121652,1209001,15810000,6587500,6.99
1,9,2025-01,19190543,11607446,18456214,976343,12935000,5389583,6.85
1,9,2025-02,12628473,11636515,18630006,976343,12935000,5389583,6.85
1,9,2025-03,15324347,11517044,19329457,976343,12935000,5389583,6.85
1,9,2025-04,12532094,11335103,19645656,976343,12935000,5389583,6.85
1,9,2025-05,15778707,12047029,19554769,976343,12935000,5389583,6.85
1,9,2025-06,15090833,11237359,18327858,976343,12935000,5389583,6.85
1,9,2025-07,15090833,11810330,19422530,976343,12935000,5389583,6.85
1,9,2025-08,15090833,11028450,18231193,976343,12935000,5389583,6.85
1,9,2025-09,15090833,11749455,19958816,976343,12935000,5389583,6.85
1,9,2025-10,15090833,12214562,18786238,976343,12935000,5389583,6.85
1,9,2025-11,15090833,12078037,18245633,976343,12935000,5389583,6.85
1,10,2025-01,17553802,13388506,22387203,1100443,14855000,6189583,6.66
1,10,2025-02,18399250,13685011,23559101,1100443,14855000,6189583,6.66
1,10,2025-03,17548070,12954654,22745306,1100443,14855000,6189583,6.66
1,10,2025-04,16484811,13499203,23210182,1100443,14855000,6189583,6.66
1,10,2025-05,16668231,13621828,21822086,1100443,14855000,6189583,6.66
1,10,2025-06,17330833,13023385,20514314,1100443,14855000,6189583,6.66
1,10,2025-07,17330833,13719428,22248855,1100443,14855000,6189583,6.66
1,10,2025-08,17330833,13769686,22100450,1100443,14855000,6189583,6.66
1,10,2025-09,17330833,13536580,21273830,1100443,14855000,6189583,6.66
1,10,2025-10,17330833,13627221,20824295,1100443,14855000,6189583,6.66
1,10,2025-11,17330833,13454782,20387818,1100443,14855000,6189583,6.66
1,11,2025-01,16244725,15449865,23648042,1198065,16570000,6904166,6.41
1,11,2025-02,20411319,15139439,22662661,1198065,16570000,6904166,6.41
1,11,2025-03,19767744,15230790,25631384,1198065,16570000,6904166,6.41
1,11,2025-04,17995138,15582017,23071698,1198065,16570000,6904166,6.41
1,11,2025-05,22239405,14217928,24668931,1198065,16570000,6904166,6.41
1,11,2025-06,19331666,14215274,25172915,1198065,16570000,6904166,6.41
1,11,2025-07,19331666,14353330,24354471,1198065,16570000,6904166,6.41
1,11,2025-08,19331666,15627209,25830631,1198065,16570000,6904166,6.41
1,11,2025-09,19331666,14782604,24414758,1198065,16570000,6904166,6.41
1,11,2025-10,19331666,15293942,22649350,1198065,16570000,6904166,6.41
1,11,2025-11,19331666,14132526,24269659,1198065,16570000,6904166,6.41
1,12,2025-01,19006487,11556369,17037825,931401,13100000,5458333,6.24
1,12,2025-02,15500118,11667509,19804902,931401,13100000,5458333,6.24
1,12,2025-03,11661009,11253081,18017685,931401,13100000,5458333,6.24
1,12,2025-04,15810170,12271354,18711782,931401,13100000,5458333,6.24
1,12,2025-05,14438880,11672604,17476415,931401,13100000,5458333,6.24
1,12,2025-06,15283333,12156657,18667818,931401,13100000,5458333,6.24
1,12,2025-07,15283333,11313626,17972351,931401,13100000,5458333,6.24
1,12,2025-08,15283333,12150458,19343225,931401,13100000,5458333,6.24
1,12,2025-09,15283333,11377560,19754652,931401,13100000,5458333,6.24
1,12,2025-10,15283333,11489455,17978228,931401,13100000,5458333,6.24
1,12,2025-11,15283333,11187832,17228000,931401,13100000,5458333,6.24
1,13,2025-01,19686692,14287621,23309242,1123267,16050000,6687500,6.09
1,13,2025-02,24116794,14746162,22985281,1123267,16050000,6687500,6.09
1,13,2025-03,14067881,14101448,24321733,1123267,16050000,6687500,6.09
1,13,2025-04,30033527,13828177,25139627,1123267,16050000,6687500,6.09
1,13,2025-05,5720104,14084831,25228285,1123267,16050000,6687500,6.09
1,13,2025-06,18725000,14704197,24338608,1123267,16050000,6687500,6.09
1,13,2025-07,18725000,14130560,24444275,1123267,16050000,6687500,6.09
1,13,2025-08,18725000,14202813,24077189,1123267,16050000,6687500,6.09
1,13,2025-09,18725000,14762085,24608867,1123267,16050000,6687500,6.09
1,13,2025-10,18725000,14069626,25488908,1123267,16050000,6687500,6.09
1,13,2025-11,18725000,14103172,25411642,1123267,16050000,6687500,6.09
1,14,2025-01,16835892,14544922,23609241,1155330,17114999,7131249,5.75
1,14,2025-02,16978501,15749376,25752655,1155330,17114999,7131249,5.75
1,14,2025-03,15779522,15213368,24816155,1155330,17114999,7131249,5.75
1,14,2025-04,31115369,15785860,25074182,1155330,17114999,7131249,5.75
1,14,2025-05,19128214,14526698,24377658,1155330,17114999,7131249,5.75
1,14,2025-06,19967499,14983624,23023010,1155330,17114999,7131249,5.75
1,14,2025-07,19967499,14833780,25573702,1155330,17114999,7131249,5.75
1,14,2025-08,19967499,15398737,25138882,1155330,17114999,7131249,5.75
1,14,2025-09,19967499,15411083,24726548,1155330,17114999,7131249,5.75
1,14,2025-10,19967499,15090682,23215215,1155330,17114999,7131249,5.75
1,14,2025-11,19967499,14833807,24875065,1155330,17114999,7131249,5.75
1,15,2025-01,18795226,16071975,23545149,1150888,17000000,7083333,5.77
1,15,2025-02,15466182,15246254,26388992,1150888,17000000,7083333,5.77
1,15,2025-03,17430318,14878213,24312626,1150888,17000000,7083333,5.77
1,15,2025-04,30091781,15015074,22990160,1150888,17000000,7083333,5.77
1,15,2025-05,17383157,15233195,25483280,1150888,17000000,7083333,5.77
1,15,2025-06,19833333,14635658,26613585,1150888,17000000,7083333,5.77
1,15,2025-07,19833333,15992461,24166334,1150888,17000000,7083333,5.77
1,15,2025-08,19833333,15931566,25669113,1150888,17000000,7083333,5.77
1,15,2025-09,19833333,15568383,23199655,1150888,17000000,7083333,5.77
1,15,2025-10,19833333,15160077,25773616,1150888,17000000,7083333,5.77
1,15,2025-11,19833333,14887375,25743137,1150888,17000000,7083333,5.77
1,16,2025-01,15220701,13789817,20366624,945217,14170000,5904166,5.64
1,16,2025-02,10435883,13655227,23158346,945217,14170000,5904166,5.64
1,16,2025-03,15677697,13114318,23763473,945217,14170000,5904166,5.64
1,16,2025-04,30465275,13908511,22629792,945217,14170000,5904166,5.64
1,16,2025-05,10858775,12996313,22436704,945217,14170000,5904166,5.64
1,16,2025-06,16531666,13735548,23012184,945217,14170000,5904166,5.64
1,16,2025-07,16531666,13703412,20932080,945217,14170000,5904166,5.64
1,16,2025-08,16531666,13176514,22126111,945217,14170000,5904166,5.64
1,16,2025-09,16531666,13952743,23125264,945217,14170000,5904166,5.64
1,16,2025-10,16531666,12837449,23359443,945217,14170000,5904166,5.64
1,16,2025-11,16531666,13787451,20296540,945217,14170000,5904166,5.64
1,17,2025-01,16338421,11863187,19192216,827841,12585000,5243750,5.51
1,17,2025-02,11352852,11561792,19647505,827841,12585000,5243750,5.51
1,17,2025-03,16911761,11448018,19925142,827841,12585000,5243750,5.51
1,17,2025-04,19660946,12014082,19271750,827841,12585000,5243750,5.51
1,17,2025-05,9148518,11335338,20382628,827841,12585000,5243750,5.51
1,17,2025-06,14682500,11731858,20114977,827841,12585000,5243750,5.51
1,17,2025-07,14682500,11407156,18706542,827841,12585000,5243750,5.51
1,17,2025-08,14682500,11970307,19561568,827841,12585000,5243750,5.51
1,17,2025-09,14682500,11347756,18868840,827841,12585000,5243750,5.51
1,17,2025-10,14682500,11964962,19319939,827841,12585000,5243750,5.51
1,17,2025-11,14682500,12335382,20780109,827841,12585000,5243750,5.51
1,18,2025-01,11155594,10495307,16901836,697801,10640000,4433333,5.48
1,18,2025-02,12995330,10286134,16217341,697801,10640000,4433333,5.48
1,18,2025-03,12276622,9698284,16434553,697801,10640000,4433333,5.48
1,18,2025-04,9960352,9738966,16853719,697801,10640000,4433333,5.48
1,18,2025-05,15678766,10483144,16147280,697801,10640000,4433333,5.48
1,18,2025-06,12413333,10680148,15882963,697801,10640000,4433333,5.48
1,18,2025-07,12413333,10002359,16849422,697801,10640000,4433333,5.48
1,18,2025-08,12413333,10484728,17037801,697801,10640000,4433333,5.48
1,18,2025-09,12413333,10455848,18137794,697801,10640000,4433333,5.48
1,18,2025-10,12413333,9963819,17603733,697801,10640000,4433333,5.48
1,18,2025-11,12413333,9780489,18323685,697801,10640000,4433333,5.48
1,19,2025-01,11170475,9491400,17123647,661303,10110000,4212500,5.46
1,19,2025-02,13821156,10047804,16645809,661303,10110000,4212500,5.46
1,19,2025-03,11049828,9821150,16941503,661303,10110000,4212500,5.46
1,19,2025-04,10389819,9776005,16587038,661303,10110000,4212500,5.46
1,19,2025-05,12543719,8993903,16233913,661303,10110000,4212500,5.46
1,19,2025-06,11795000,9515573,15065795,661303,10110000,4212500,5.46
1,19,2025-07,11795000,9458972,16186528,661303,10110000,4212500,5.46
1,19,2025-08,11795000,9004239,17131754,661303,10110000,4212500,5.46
1,19,2025-09,11795000,9730969,16732431,661303,10110000,4212500,5.46
1,19,2025-10,11795000,9914497,15653268,661303,10110000,4212500,5.46
1,19,2025-11,11795000,9491384,15439078,661303,10110000,4212500,5.46
1,20,2025-01,9910394,8926723,14982917,843549,9965000,4152083,8.12
1,20,2025-02,16201693,8988390,14109640,843549,9965000,4152083,8.12
1,20,2025-03,8527818,9201497,14319790,843549,9965000,4152083,8.12
1,20,2025-04,11528239,9517681,14085293,843549,9965000,4152083,8.12
1,20,2025-05,11961020,8763730,14288102,843549,9965000,4152083,8.12
1,20,2025-06,11625833,9257883,14027065,843549,9965000,4152083,8.12
1,20,2025-07,11625833,9009499,15470550,843549,9965000,4152083,8.12
1,20,2025-08,11625833,9634409,15282580,843549,9965000,4152083,8.12
1,20,2025-09,11625833,9127527,15711435,843549,9965000,4152083,8.12
1,20,2025-10,11625833,9327122,14598781,843549,9965000,4152083,8.12
1,20,2025-11,11625833,9392141,16045495,843549,9965000,4152083,8.12
1,21,2025-01,20096441,13408859,24266401,1229392,14775000,6156250,7.92
1,21,2025-02,20176593,14415792,21762930,1229392,14775000,6156250,7.92
1,21,2025-03,17590166,14038683,21035588,1229392,14775000,6156250,7.92
1,21,2025-04,19011313,13297817,23308323,1229392,14775000,6156250,7.92
1,21,2025-05,9312985,13056471,22452974,1229392,14775000,6156250,7.92
1,21,2025-06,17237500,14472133,22061599,1229392,14775000,6156250,7.92
1,21,2025-07,17237500,14566098,22176209,1229392,14775000,6156250,7.92
1,21,2025-08,17237500,13101399,22147497,1229392,14775000,6156250,7.92
1,21,2025-09,17237500,13030608,21586220,1229392,14775000,6156250,7.92
1,21,2025-10,17237500,13173007,23155125,1229392,14775000,6156250,7.92
1,21,2025-11,17237500,13387531,23985034,1229392,14775000,6156250,7.92
1,22,2025-01,18280672,14097846,20934650,1192827,14630000,6095833,7.69
1,22,2025-02,20966195,12820271,23355481,1192827,14630000,6095833,7.69
1,22,2025-03,14500591,13247850,21740654,1192827,14630000,6095833,7.69
1,22,2025-04,25455428,13275119,22968312,1192827,14630000,6095833,7.69
1,22,2025-05,6138778,13300730,21354752,1192827,14630000,6095833,7.69
1,22,2025-06,17068333,14133296,21603748,1192827,14630000,6095833,7.69
1,22,2025-07,17068333,13836842,24034069,1192827,14630000,6095833,7.69
1,22,2025-08,17068333,12852555,23980065,1192827,14630000,6095833,7.69
1,22,2025-09,17068333,13740119,23400845,1192827,14630000,6095833,7.69
1,22,2025-10,17068333,14107610,21486774,1192827,14630000,6095833,7.69
1,22,2025-11,17068333,13889165,22368853,1192827,14630000,6095833,7.69
1,23,2025-01,16643827,13708723,22608926,1126739,14070000,5862500,7.49
1,23,2025-02,18208602,12806144,21191509,1126739,14070000,5862500,7.49
1,23,2025-03,10532790,13032194,22480846,1126739,14070000,5862500,7.49
1,23,2025-04,23629792,13639838,21409050,1126739,14070000,5862500,7.49
1,23,2025-05,13059986,14011261,23203594,1126739,14070000,5862500,7.49
1,23,2025-06,16415000,13488574,23213455,1126739,14070000,5862500,7.49
1,23,2025-07,16415000,13980981,21877575,1126739,14070000,5862500,7.49
1,23,2025-08,16415000,13963433,23179841,1126739,14070000,5862500,7.49
1,23,2025-09,16415000,12576001,23307569,1126739,14070000,5862500,7.49
1,23,2025-10,16415000,12641602,23331683,1126739,14070000,5862500,7.49
1,23,2025-11,16415000,13582673,23764785,1126739,14070000,5862500,7.49
1,24,2025-01,15185354,11775801,17229509,970948,12255000,5106250,7.37
1,24,2025-02,18697900,11547389,19563225,970948,12255000,5106250,7.37
1,24,2025-03,7312405,11576424,19460932,970948,12255000,5106250,7.37
1,24,2025-04,22585081,11644142,18774519,970948,12255000,5106250,7.37
1,24,2025-05,7706757,10546265,17528947,970948,12255000,5106250,7.37
1,24,2025-06,14297500,10866689,18341901,970948,12255000,5106250,7.37
1,24,2025-07,14297500,11133308,18830595,970948,12255000,5106250,7.37
1,24,2025-08,14297500,10546042,17213793,970948,12255000,5106250,7.37
1,24,2025-09,14297500,11363940,18754323,970948,12255000,5106250,7.37
1,24,2025-10,14297500,11335637,19323666,970948,12255000,5106250,7.37
1,24,2025-11,14297500,11132870,18376023,970948,12255000,5106250,7.37
1,25,2025-01,15851078,12902569,19793782,1145840,14695000,6122916,7.2
1,25,2025-02,11756460,12797482,21355184,1145840,14695000,6122916,7.2
1,25,2025-03,18605239,12718358,19718534,1145840,14695000,6122916,7.2
1,25,2025-04,26232899,12692085,21422500,1145840,14695000,6122916,7.2
1,25,2025-05,13275155,12975465,19952410,1145840,14695000,6122916,7.2
1,25,2025-06,17144166,12843608,19807126,1145840,14695000,6122916,7.2
1,25,2025-07,17144166,13732558,21783961,1145840,14695000,6122916,7.2
1,25,2025-08,17144166,13457601,19014357,1145840,14695000,6122916,7.2
1,25,2025-09,17144166,12904357,21251387,1145840,14695000,6122916,7.2
1,25,2025-10,17144166,13519958,21037965,1145840,14695000,6122916,7.2
1,25,2025-11,17144166,12595889,19441773,1145840,14695000,6122916,7.2
1,26,2025-01,15612206,12898320,21110081,1067408,13890000,5787500,7.04
1,26,2025-02,13601562,12369596,19927358,1067408,13890000,5787500,7.04
1,26,2025-03,16468958,12432433,20483875,1067408,13890000,5787500,7.04
1,26,2025-04,27014936,12864308,20237247,1067408,13890000,5787500,7.04
1,26,2025-05,8327335,12333316,18726593,1067408,13890000,5787500,7.04
1,26,2025-06,16205000,12289879,18054683,1067408,13890000,5787500,7.04
1,26,2025-07,16205000,12186022,18840860,1067408,13890000,5787500,7.04
1,26,2025-08,16205000,12634677,20613472,1067408,13890000,5787500,7.04
1,26,2025-09,16205000,11679554,18177635,1067408,13890000,5787500,7.04
1,26,2025-10,16205000,12186985,18674619,1067408,13890000,5787500,7.04
1,26,2025-11,16205000,11675317,18889874,1067408,13890000,5787500,7.04
1,27,2025-01,16840415,13229549,22852072,1063025,14105000,5877083,6.84
1,27,2025-02,14838826,13658046,20134021,1063025,14105000,5877083,6.84
1,27,2025-03,18750737,12936012,20774104,1063025,14105000,5877083,6.84
1,27,2025-04,27471498,13652692,20912068,1063025,14105000,5877083,6.84
1,27,2025-05,4377689,13305833,22808478,1063025,14105000,5877083,6.84
1,27,2025-06,16455833,13169835,22743555,1063025,14105000,5877083,6.84
1,27,2025-07,16455833,12998835,20364209,1063025,14105000,5877083,6.84
1,27,2025-08,16455833,12940554,20722037,1063025,14105000,5877083,6.84
1,27,2025-09,16455833,12537249,22201121,1063025,14105000,5877083,6.84
1,27,2025-10,16455833,13677297,22230605,1063025,14105000,5877083,6.84
1,27,2025-11,16455833,13540627,22498576,1063025,14105000,5877083,6.84
1,28,2025-01,12626010,11423251,19723988,1006756,13360000,5566666,6.83
1,28,2025-02,19473140,11819030,20313238,1006756,13360000,5566666,6.83
1,28,2025-03,14577673,12203634,18722304,1006756,13360000,5566666,6.83
1,28,2025-04,16075397,11519208,20678187,1006756,13360000,5566666,6.83
1,28,2025-05,15181112,12575110,18534926,1006756,13360000,5566666,6.83
1,28,2025-06,15586666,12117594,20478660,1006756,13360000,5566666,6.83
1,28,2025-07,15586666,12246531,19084256,1006756,13360000,5566666,6.83
1,28,2025-08,15586666,11695581,18903276,1006756,13360000,5566666,6.83
1,28,2025-09,15586666,11386379,18449897,1006756,13360000,5566666,6.83
1,28,2025-10,15586666,12722752,19563976,1006756,13360000,5566666,6.83
1,28,2025-11,15586666,12090511,19149154,1006756,13360000,5566666,6.83
1,29,2025-01,19907708,13446970,19847148,1063123,14300000,5958333,6.69
1,29,2025-02,11805402,12903735,21342187,1063123,14300000,5958333,6.69
1,29,2025-03,17006284,12463634,21326839,1063123,14300000,5958333,6.69
1,29,2025-04,16392905,12963659,22271772,1063123,14300000,5958333,6.69
1,29,2025-05,18304365,12737611,19895027,1063123,14300000,5958333,6.69
1,29,2025-06,16683333,12325576,21257946,1063123,14300000,5958333,6.69
1,29,2025-07,16683333,12442912,21416832,1063123,14300000,5958333,6.69
1,29,2025-08,16683333,13195254,21307554,1063123,14300000,5958333,6.69
1,29,2025-09,16683333,12282845,20001401,1063123,14300000,5958333,6.69
1,29,2025-10,16683333,12734037,20298027,1063123,14300000,5958333,6.69
1,29,2025-11,16683333,13320681,22229106,1063123,14300000,5958333,6.69
1,30,2025-01,16114635,12737137,21035803,995829,13585000,5660416,6.55
1,30,2025-02,11474410,12931503,21068780,995829,13585000,5660416,6.55
1,30,2025-03,22217501,13535901,21834411,995829,13585000,5660416,6.55
1,30,2025-04,13873140,12728369,21227043,995829,13585000,5660416,6.55
1,30,2025-05,15566145,12500400,20220763,995829,13585000,5660416,6.55
1,30,2025-06,15849166,12418984,21734795,995829,13585000,5660416,6.55
1,30,2025-07,15849166,13173154,21412440,995829,13585000,5660416,6.55
1,30,2025-08,15849166,13067572,20755454,995829,13585000,5660416,6.55
1,30,2025-09,15849166,13275481,22852417,995829,13585000,5660416,6.55
1,30,2025-10,15849166,12557835,20160251,995829,13585000,5660416,6.55
1,30,2025-11,15849166,12133619,22479248,995829,13585000,5660416,6.55
1,31,2025-01,17949470,12351415,21298293,1014099,13995000,5831250,6.43
1,31,2025-02,12080168,12980944,22530720,1014099,13995000,5831250,6.43
1,31,2025-03,16680347,13709852,22383885,1014099,13995000,5831250,6.43
1,31,2025-04,12547080,12499319,21564349,1014099,13995000,5831250,6.43
