# SYNTHETIC. Every crew on the estate: harvest gangs carried through from ec_gangs.csv under the same code, plus upkeep crews, spray teams and P&D teams sized from the programme. EPMS has m_gang_employee for harvest gangs only; the EC export carries none of it.
crew_code,crew_type,name,division_code,establishment,harvesters,mandor,kerani,skill,blocks,home_block,home_lon,home_lat
G1-01,harvest,Gang 1-01,1,28,15,1,1,0.913,10,32-51,140.839842,-7.04206
G1-02,harvest,Gang 1-02,1,26,17,1,1,0.922,10,33-54,140.848986,-7.049989
G1-03,harvest,Gang 1-03,1,25,18,1,1,1.165,10,34-50,140.857268,-7.038509
G1-04,harvest,Gang 1-04,1,26,15,1,1,0.977,9,34-60,140.857769,-7.066664
G2-01,harvest,Gang 2-01,2,24,19,1,1,0.996,9,35-49,140.865791,-7.035183
G2-02,harvest,Gang 2-02,2,20,16,1,1,1.059,9,36-52,140.876141,-7.044338
G2-03,harvest,Gang 2-03,2,24,12,1,1,1.048,9,36-61,140.875608,-7.069598
G2-04,harvest,Gang 2-04,2,25,14,1,1,1.06,7,37-57,140.884909,-7.058413
G3-01,harvest,Gang 3-01,3,27,13,1,1,0.924,13,31-41,140.830525,-7.013453
G3-02,harvest,Gang 3-02,3,24,13,1,1,1.142,13,32-46,140.839364,-7.027679
G3-03,harvest,Gang 3-03,3,25,18,1,1,1.05,13,34-42,140.856632,-7.016345
G3-04,harvest,Gang 3-04,3,24,20,1,1,0.978,10,36-41,140.875871,-7.013447
G4-01,harvest,Gang 4-01,4,26,12,1,1,1.035,11,30-35,140.822371,-6.995695
G4-02,harvest,Gang 4-02,4,25,17,1,1,1.152,11,31-40,140.830184,-7.010859
G4-03,harvest,Gang 4-03,4,24,18,1,1,1.119,11,33-38,140.848407,-7.004502
G4-04,harvest,Gang 4-04,4,20,13,1,1,0.91,10,35-35,140.866536,-6.997267
G5-01,harvest,Gang 5-01,5,23,13,1,1,1.127,11,30-28,140.819039,-6.97666
G5-02,harvest,Gang 5-02,5,27,15,1,1,1.017,11,31-32,140.830392,-6.987494
G5-03,harvest,Gang 5-03,5,19,14,1,1,1.145,11,33-29,140.848301,-6.979345
G6-01,harvest,Gang 6-01,6,24,18,1,1,1.039,10,37-33,140.881992,-6.993957
G6-02,harvest,Gang 6-02,6,18,16,1,1,1.006,10,38-36,140.895712,-7.00193
G6-03,harvest,Gang 6-03,6,24,17,1,1,0.959,10,37-43,140.88406,-7.020111
G6-04,harvest,Gang 6-04,6,24,14,1,1,1.044,10,38-46,140.894621,-7.028629
G6-05,harvest,Gang 6-05,6,21,20,1,1,0.844,7,40-42,140.912415,-7.018105
G7-01,harvest,Gang 7-01,7,27,18,1,1,0.996,12,37-47,140.883512,-7.030737
G7-02,harvest,Gang 7-02,7,21,20,1,1,1.0,12,39-50,140.903073,-7.039477
