# SYNTHETIC. Dispatch orders: the plan side of the trip ledger. Planned tonnes are the harvest plan's bunches at the block's bunch weight, split across the vehicles that went; actual is what the weighbridge weighed (ec_weighbridge.csv), so the gap is harvest shortfall and shrinkage together. Stands in for the SAP PM vehicle trip plan.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to,driver_id,route_code
WO-2025-0101-D-001,2025-01-01,dispatch,evacuation,1,14,TR-03,2,2,7.17,5.97,tonnes,0.41,0.41,partial,08:40,15:20,,D-04/D-20,R-01
WO-2025-0101-D-002,2025-01-01,dispatch,evacuation,1,16,TR-01,2,2,4.8,5.18,tonnes,0.49,0.49,completed,11:49,14:02,,D-04/D-15,R-01
WO-2025-0101-D-003,2025-01-01,dispatch,evacuation,1,2,MI-03,2,2,4.59,4.13,tonnes,0.52,0.52,completed,09:03,16:30,,D-04/D-16,R-01
WO-2025-0101-D-004,2025-01-01,dispatch,evacuation,1,20,DU-01,1,1,3.7,4.01,tonnes,0.19,0.19,completed,09:18,10:49,,D-07,R-01
WO-2025-0101-D-005,2025-01-01,dispatch,evacuation,1,3,MI-03,2,2,3.6,3.32,tonnes,0.35,0.35,completed,07:20,12:01,,D-06/D-17,R-01
WO-2025-0101-D-006,2025-01-01,dispatch,evacuation,1,31,MI-04,3,2,5.58,4.71,tonnes,0.61,0.4,partial,11:32,16:04,,D-04/D-10,R-01
WO-2025-0101-D-007,2025-01-01,dispatch,evacuation,1,33,TR-01,2,2,6.82,5.08,tonnes,0.49,0.49,partial,14:12,16:19,,D-05/D-11,R-01
WO-2025-0101-D-008,2025-01-01,dispatch,evacuation,1,9,MI-04,3,3,6.64,5.83,tonnes,0.54,0.54,completed,08:28,10:04,,D-14/D-17/D-20,R-01
WO-2025-0101-D-009,2025-01-01,dispatch,evacuation,2,41,TR-01,3,3,9.45,8.98,tonnes,0.83,0.83,completed,08:13,14:27,,D-08/D-15/D-18,R-02
WO-2025-0101-D-010,2025-01-01,dispatch,evacuation,2,47,DU-02,2,2,9.17,7.42,tonnes,0.28,0.28,partial,08:10,10:07,,D-05/D-16,R-02
WO-2025-0101-D-011,2025-01-01,dispatch,evacuation,2,50,TR-02,2,2,6.61,5.2,tonnes,0.4,0.4,partial,10:36,12:55,,D-14/D-19,R-02
WO-2025-0101-D-012,2025-01-01,dispatch,evacuation,2,53,DU-05,1,1,4.81,5.41,tonnes,0.25,0.25,completed,08:37,10:36,,D-01,R-02
WO-2025-0101-D-013,2025-01-01,dispatch,evacuation,2,60,TR-08,3,3,12.01,11.61,tonnes,0.78,0.78,completed,08:47,14:02,,D-07/D-15/D-20,R-02
WO-2025-0101-D-014,2025-01-01,dispatch,evacuation,2,63,TR-07,2,2,8.15,8.0,tonnes,0.43,0.43,completed,08:53,11:23,,D-04/D-20,R-02
