# SYNTHETIC. Fertiliser goods issues against the agronomy programme. SAP MM holds these; the EC export carries only a rupiah cost line, which cannot answer an agronomic question. NOTE the deliberate confounding: weak blocks are PRESCRIBED more, so a naive reading of 'more fertiliser, lower yield' is backwards.
division_code,block_code,window,material,target_kg,issued_kg,target_date,issue_date,application_lag_days,palms,kg_per_palm
1,1,2024-10,NPK 12-12-17-2,2737.5,1886.6,2024-10-15,2024-11-03,19,790,2.388
1,1,2024-10,Urea,673.8,613.1,2024-10-15,2024-11-17,33,790,0.776
1,1,2024-10,Kieserite,505.4,445.8,2024-10-15,2024-11-02,18,790,0.564
1,1,2024-10,Borate,63.2,69.2,2024-10-15,2024-10-15,0,790,0.088
1,1,2025-03,NPK 12-12-17-2,2737.5,1947.7,2025-03-15,2025-04-15,31,790,2.465
1,1,2025-03,Urea,673.8,599.9,2025-03-15,2025-03-15,0,790,0.759
1,1,2025-03,Kieserite,505.4,368.1,2025-03-15,2025-05-06,52,790,0.466
1,1,2025-03,Borate,63.2,61.8,2025-03-15,2025-03-29,14,790,0.078
1,2,2024-10,NPK 12-12-17-2,8226.2,7148.4,2024-10-15,2024-10-15,0,2412,2.964
1,2,2024-10,Urea,2024.9,2267.9,2024-10-15,2024-10-19,4,2412,0.94
1,2,2024-10,Kieserite,1518.7,1700.9,2024-10-15,2024-10-15,0,2412,0.705
1,2,2024-10,Borate,189.8,197.6,2024-10-15,2024-10-16,1,2412,0.082
1,2,2025-03,NPK 12-12-17-2,8226.2,9213.4,2025-03-15,2025-04-20,36,2412,3.82
1,2,2025-03,Urea,2024.9,1064.5,2025-03-15,2025-03-15,0,2412,0.441
1,2,2025-03,Kieserite,1518.7,1561.2,2025-03-15,2025-05-11,57,2412,0.647
1,2,2025-03,Borate,189.8,212.6,2025-03-15,2025-03-28,13,2412,0.088
1,3,2024-10,NPK 12-12-17-2,6234.3,4759.2,2024-10-15,2024-11-25,41,1916,2.484
1,3,2024-10,Urea,1534.6,1349.6,2024-10-15,2024-10-15,0,1916,0.704
1,3,2024-10,Kieserite,1150.9,1007.2,2024-10-15,2024-11-11,27,1916,0.526
1,3,2024-10,Borate,143.9,150.7,2024-10-15,2024-11-08,24,1916,0.079
1,3,2025-03,NPK 12-12-17-2,6234.3,6015.9,2025-03-15,2025-05-14,60,1916,3.14
1,3,2025-03,Urea,1534.6,1117.8,2025-03-15,2025-04-25,41,1916,0.583
1,3,2025-03,Kieserite,1150.9,1133.9,2025-03-15,2025-04-21,37,1916,0.592
1,3,2025-03,Borate,143.9,102.1,2025-03-15,2025-03-15,0,1916,0.053
1,4,2024-10,NPK 12-12-17-2,6153.2,5938.4,2024-10-15,2024-12-08,54,1855,3.201
1,4,2024-10,Urea,1514.6,1275.8,2024-10-15,2024-10-15,0,1855,0.688
1,4,2024-10,Kieserite,1136.0,1085.1,2024-10-15,2024-11-07,23,1855,0.585
1,4,2024-10,Borate,142.0,129.0,2024-10-15,2024-11-02,18,1855,0.07
1,4,2025-03,NPK 12-12-17-2,6153.2,5542.5,2025-03-15,2025-04-04,20,1855,2.988
1,4,2025-03,Urea,1514.6,1185.6,2025-03-15,2025-03-15,0,1855,0.639
1,4,2025-03,Kieserite,1136.0,900.6,2025-03-15,2025-04-21,37,1855,0.485
1,4,2025-03,Borate,142.0,159.0,2025-03-15,2025-05-02,48,1855,0.086
1,5,2024-10,NPK 12-12-17-2,4086.4,4202.6,2024-10-15,2024-10-19,4,1218,3.45
1,5,2024-10,Urea,1005.9,736.2,2024-10-15,2024-10-15,0,1218,0.604
1,5,2024-10,Kieserite,754.4,844.9,2024-10-15,2024-11-02,18,1218,0.694
1,5,2024-10,Borate,94.3,92.1,2024-10-15,2024-10-29,14,1218,0.076
1,5,2025-03,NPK 12-12-17-2,4086.4,3359.9,2025-03-15,2025-03-19,4,1218,2.759
1,5,2025-03,Urea,1005.9,746.9,2025-03-15,2025-04-06,22,1218,0.613
1,5,2025-03,Kieserite,754.4,772.8,2025-03-15,2025-03-27,12,1218,0.634
1,5,2025-03,Borate,94.3,87.5,2025-03-15,2025-04-06,22,1218,0.072
1,6,2024-10,NPK 12-12-17-2,3221.8,3100.4,2024-10-15,2024-10-15,0,957,3.24
1,6,2024-10,Urea,793.1,735.6,2024-10-15,2024-10-31,16,957,0.769
1,6,2024-10,Kieserite,594.8,446.6,2024-10-15,2024-10-24,9,957,0.467
1,6,2024-10,Borate,74.4,58.3,2024-10-15,2024-10-15,0,957,0.061
1,6,2025-03,NPK 12-12-17-2,3221.8,3063.2,2025-03-15,2025-03-15,0,957,3.201
1,6,2025-03,Urea,793.1,702.8,2025-03-15,2025-03-15,0,957,0.734
1,6,2025-03,Kieserite,594.8,555.6,2025-03-15,2025-04-02,18,957,0.581
1,6,2025-03,Borate,74.4,73.2,2025-03-15,2025-03-15,0,957,0.077
1,7,2024-10,NPK 12-12-17-2,6989.4,6134.2,2024-10-15,2024-11-08,24,2181,2.813
1,7,2024-10,Urea,1720.5,1817.0,2024-10-15,2024-10-15,0,2181,0.833
1,7,2024-10,Kieserite,1290.3,1284.4,2024-10-15,2024-10-15,0,2181,0.589
1,7,2024-10,Borate,161.3,132.7,2024-10-15,2024-10-31,16,2181,0.061
1,7,2025-03,NPK 12-12-17-2,6989.4,5169.7,2025-03-15,2025-03-22,7,2181,2.37
