# SYNTHETIC. Forward block forecast in bunches. The real export ends 2025-05-23; these months are generated so the time scrubber has a forward half.
division_code,block_code,month,horizon,p10,p50,p90
1,1,2025-06,1,767,857,947
1,1,2025-07,2,753,882,1010
1,1,2025-08,3,742,912,1083
1,1,2025-09,4,704,911,1118
1,1,2025-10,5,736,1005,1275
1,1,2025-11,6,741,1073,1404
1,2,2025-06,1,2182,2491,2800
1,2,2025-07,2,2111,2551,2991
1,2,2025-08,3,2000,2566,3132
1,2,2025-09,4,2018,2760,3502
1,2,2025-10,5,2006,2938,3870
1,2,2025-11,6,1870,2947,4024
1,3,2025-06,1,2185,2437,2690
1,3,2025-07,2,1965,2296,2627
1,3,2025-08,3,2082,2553,3023
1,3,2025-09,4,1982,2556,3131
1,3,2025-10,5,2055,2797,3538
1,3,2025-11,6,2058,2963,3868
1,4,2025-06,1,1940,2242,2544
1,4,2025-07,2,1814,2233,2651
1,4,2025-08,3,1631,2145,2659
1,4,2025-09,4,1647,2327,3007
1,4,2025-10,5,1660,2533,3406
1,4,2025-11,6,1562,2590,3618
1,5,2025-06,1,1171,1357,1543
1,5,2025-07,2,1068,1319,1571
1,5,2025-08,3,1047,1385,1722
1,5,2025-09,4,990,1409,1827
1,5,2025-10,5,968,1490,2012
1,5,2025-11,6,939,1574,2209
1,6,2025-06,1,885,1034,1184
1,6,2025-07,2,817,1022,1227
1,6,2025-08,3,812,1093,1374
1,6,2025-09,4,815,1186,1558
1,6,2025-10,5,768,1218,1667
1,6,2025-11,6,737,1283,1829
1,7,2025-06,1,2546,2938,3330
1,7,2025-07,2,2451,3008,3566
1,7,2025-08,3,2338,3065,3792
1,7,2025-09,4,2362,3323,4283
1,7,2025-10,5,2321,3522,4722
1,7,2025-11,6,2328,3834,5339
1,8,2025-06,1,5126,5803,6481
1,8,2025-07,2,5062,6042,7022
1,8,2025-08,3,4884,6163,7443
1,8,2025-09,4,4961,6641,8322
1,8,2025-10,5,5027,7165,9303
1,8,2025-11,6,4820,7345,9871
1,9,2025-06,1,4280,4875,5471
1,9,2025-07,2,4093,4929,5765
1,9,2025-08,3,3990,5097,6203
1,9,2025-09,4,3937,5353,6770
1,9,2025-10,5,3835,5575,7314
1,9,2025-11,6,3812,5952,8092
1,10,2025-06,1,4821,5344,5868
1,10,2025-07,2,4653,5385,6118
1,10,2025-08,3,4598,5567,6536
1,10,2025-09,4,4774,6060,7346
1,10,2025-10,5,4788,6386,7984
1,10,2025-11,6,4621,6493,8365
1,11,2025-06,1,5759,6478,7198
1,11,2025-07,2,5299,6265,7231
1,11,2025-08,3,5261,6555,7849
1,11,2025-09,4,5112,6732,8352
