# SYNTHETIC. Harvest gangs. EPMS has m_gang_employee but the EC export carries none. Territories are contiguous runs of blocks within a division.
gang_code,name,division_code,headcount,harvesters,kerani,mandor
G1-01,Gang 1-01,1,28,15,1,1
G1-02,Gang 1-02,1,26,17,1,1
G1-03,Gang 1-03,1,25,18,1,1
G1-04,Gang 1-04,1,26,15,1,1
G2-01,Gang 2-01,2,24,19,1,1
G2-02,Gang 2-02,2,20,16,1,1
G2-03,Gang 2-03,2,24,12,1,1
G2-04,Gang 2-04,2,25,14,1,1
G3-01,Gang 3-01,3,27,13,1,1
G3-02,Gang 3-02,3,24,13,1,1
G3-03,Gang 3-03,3,25,18,1,1
G3-04,Gang 3-04,3,24,20,1,1
G4-01,Gang 4-01,4,26,12,1,1
G4-02,Gang 4-02,4,25,17,1,1
G4-03,Gang 4-03,4,24,18,1,1
G4-04,Gang 4-04,4,20,13,1,1
G5-01,Gang 5-01,5,23,13,1,1
G5-02,Gang 5-02,5,27,15,1,1
G5-03,Gang 5-03,5,19,14,1,1
G6-01,Gang 6-01,6,24,18,1,1
G6-02,Gang 6-02,6,18,16,1,1
G6-03,Gang 6-03,6,24,17,1,1
G6-04,Gang 6-04,6,24,14,1,1
G6-05,Gang 6-05,6,21,20,1,1
G7-01,Gang 7-01,7,27,18,1,1
G7-02,Gang 7-02,7,21,20,1,1
G7-03,Gang 7-03,7,20,14,1,1
G7-04,Gang 7-04,7,27,15,1,1
