# SYNTHETIC. 36 months of block-level harvest, 2022-06 to 2025-05. The 5 months flagged observed=1 are the client's REAL recorded figures. The rest are back-cast from them using REAL rainfall at the agronomic lags (sex determination 20-24 months, abortion 8-10 months), a seasonal term and an age trend. EPMS holds the real history; the export was cut to five months.
division_code,block_code,month,bunches,planted_ha,palm_age_years,observed
1,1,2022-06,860,6.4,8.08,0
1,1,2022-07,866,6.4,8.17,0
1,1,2022-08,806,6.4,8.25,0
1,1,2022-09,811,6.4,8.33,0
1,1,2022-10,784,6.4,8.42,0
1,1,2022-11,840,6.4,8.5,0
1,1,2022-12,761,6.4,8.58,0
1,1,2023-01,721,6.4,8.67,0
1,1,2023-02,726,6.4,8.75,0
1,1,2023-03,859,6.4,8.83,0
1,1,2023-04,881,6.4,8.92,0
1,1,2023-05,848,6.4,9.0,0
1,1,2023-06,863,6.4,9.08,0
1,1,2023-07,930,6.4,9.17,0
1,1,2023-08,805,6.4,9.25,0
1,1,2023-09,858,6.4,9.33,0
1,1,2023-10,859,6.4,9.42,0
1,1,2023-11,821,6.4,9.5,0
1,1,2023-12,834,6.4,9.58,0
1,1,2024-01,764,6.4,9.67,0
1,1,2024-02,809,6.4,9.75,0
1,1,2024-03,843,6.4,9.83,0
1,1,2024-04,807,6.4,9.92,0
1,1,2024-05,836,6.4,10.0,0
1,1,2024-06,949,6.4,10.08,0
1,1,2024-07,981,6.4,10.17,0
1,1,2024-08,933,6.4,10.25,0
1,1,2024-09,899,6.4,10.33,0
1,1,2024-10,835,6.4,10.42,0
1,1,2024-11,821,6.4,10.5,0
1,1,2024-12,842,6.4,10.58,0
1,1,2025-01,1087,6.4,10.67,1
1,1,2025-02,1026,6.4,10.75,1
1,1,2025-03,980,6.4,10.83,1
1,1,2025-04,1038,6.4,10.92,1
1,1,2025-05,865,6.4,11.0,1
1,2,2022-06,2248,17.49,8.08,0
1,2,2022-07,2182,17.49,8.17,0
1,2,2022-08,2635,17.49,8.25,0
1,2,2022-09,2278,17.49,8.33,0
1,2,2022-10,2239,17.49,8.42,0
1,2,2022-11,2321,17.49,8.5,0
1,2,2022-12,2212,17.49,8.58,0
1,2,2023-01,2292,17.49,8.67,0
1,2,2023-02,2394,17.49,8.75,0
1,2,2023-03,2399,17.49,8.83,0
1,2,2023-04,2597,17.49,8.92,0
1,2,2023-05,2498,17.49,9.0,0
1,2,2023-06,2779,17.49,9.08,0
1,2,2023-07,2770,17.49,9.17,0
1,2,2023-08,2355,17.49,9.25,0
1,2,2023-09,2628,17.49,9.33,0
1,2,2023-10,2636,17.49,9.42,0
1,2,2023-11,2384,17.49,9.5,0
1,2,2023-12,2197,17.49,9.58,0
1,2,2024-01,2559,17.49,9.67,0
1,2,2024-02,2375,17.49,9.75,0
1,2,2024-03,2497,17.49,9.83,0
1,2,2024-04,2578,17.49,9.92,0
1,2,2024-05,2418,17.49,10.0,0
1,2,2024-06,2666,17.49,10.08,0
1,2,2024-07,2599,17.49,10.17,0
1,2,2024-08,2590,17.49,10.25,0
1,2,2024-09,2342,17.49,10.33,0
1,2,2024-10,2553,17.49,10.42,0
1,2,2024-11,2301,17.49,10.5,0
1,2,2024-12,2399,17.49,10.58,0
1,2,2025-01,3077,17.49,10.67,1
1,2,2025-02,3687,17.49,10.75,1
1,2,2025-03,2965,17.49,10.83,1
1,2,2025-04,2581,17.49,10.92,1
1,2,2025-05,2198,17.49,11.0,1
1,3,2022-06,2344,13.82,8.08,0
1,3,2022-07,2169,13.82,8.17,0
1,3,2022-08,2435,13.82,8.25,0
1,3,2022-09,2457,13.82,8.33,0
1,3,2022-10,2251,13.82,8.42,0
1,3,2022-11,2046,13.82,8.5,0
1,3,2022-12,2100,13.82,8.58,0
1,3,2023-01,1905,13.82,8.67,0
1,3,2023-02,2198,13.82,8.75,0
1,3,2023-03,2112,13.82,8.83,0
1,3,2023-04,2231,13.82,8.92,0
1,3,2023-05,2171,13.82,9.0,0
1,3,2023-06,2586,13.82,9.08,0
1,3,2023-07,2690,13.82,9.17,0
1,3,2023-08,2226,13.82,9.25,0
1,3,2023-09,2473,13.82,9.33,0
1,3,2023-10,2391,13.82,9.42,0
1,3,2023-11,2248,13.82,9.5,0
1,3,2023-12,2343,13.82,9.58,0
1,3,2024-01,2441,13.82,9.67,0
1,3,2024-02,2089,13.82,9.75,0
1,3,2024-03,2099,13.82,9.83,0
1,3,2024-04,2350,13.82,9.92,0
1,3,2024-05,2468,13.82,10.0,0
1,3,2024-06,2617,13.82,10.08,0
1,3,2024-07,2494,13.82,10.17,0
1,3,2024-08,2621,13.82,10.25,0
1,3,2024-09,2407,13.82,10.33,0
1,3,2024-10,2226,13.82,10.42,0
1,3,2024-11,2254,13.82,10.5,0
1,3,2024-12,2178,13.82,10.58,0
1,3,2025-01,2818,13.82,10.67,1
1,3,2025-02,2929,13.82,10.75,1
1,3,2025-03,2682,13.82,10.83,1
1,3,2025-04,2417,13.82,10.92,1
1,3,2025-05,2534,13.82,11.0,1
1,4,2022-06,2071,13.46,8.08,0
1,4,2022-07,2043,13.46,8.17,0
1,4,2022-08,1875,13.46,8.25,0
1,4,2022-09,1877,13.46,8.33,0
1,4,2022-10,2105,13.46,8.42,0
1,4,2022-11,1744,13.46,8.5,0
1,4,2022-12,1807,13.46,8.58,0
1,4,2023-01,1737,13.46,8.67,0
1,4,2023-02,1697,13.46,8.75,0
1,4,2023-03,1892,13.46,8.83,0
1,4,2023-04,2206,13.46,8.92,0
1,4,2023-05,2142,13.46,9.0,0
1,4,2023-06,2290,13.46,9.08,0
1,4,2023-07,2058,13.46,9.17,0
1,4,2023-08,2387,13.46,9.25,0
1,4,2023-09,2001,13.46,9.33,0
1,4,2023-10,2016,13.46,9.42,0
1,4,2023-11,2043,13.46,9.5,0
1,4,2023-12,2175,13.46,9.58,0
1,4,2024-01,2174,13.46,9.67,0
1,4,2024-02,2038,13.46,9.75,0
1,4,2024-03,1960,13.46,9.83,0
1,4,2024-04,2206,13.46,9.92,0
1,4,2024-05,2112,13.46,10.0,0
1,4,2024-06,2176,13.46,10.08,0
1,4,2024-07,2095,13.46,10.17,0
1,4,2024-08,2211,13.46,10.25,0
1,4,2024-09,2359,13.46,10.33,0
1,4,2024-10,1948,13.46,10.42,0
1,4,2024-11,1908,13.46,10.5,0
1,4,2024-12,1911,13.46,10.58,0
1,4,2025-01,2890,13.46,10.67,1
1,4,2025-02,2481,13.46,10.75,1
1,4,2025-03,3176,13.46,10.83,1
1,4,2025-04,1715,13.46,10.92,1
1,4,2025-05,1938,13.46,11.0,1
1,5,2022-06,1317,8.77,8.08,0
1,5,2022-07,1170,8.77,8.17,0
1,5,2022-08,1234,8.77,8.25,0
1,5,2022-09,1157,8.77,8.33,0
1,5,2022-10,1129,8.77,8.42,0
1,5,2022-11,1123,8.77,8.5,0
1,5,2022-12,1242,8.77,8.58,0
1,5,2023-01,1221,8.77,8.67,0
1,5,2023-02,1114,8.77,8.75,0
1,5,2023-03,1248,8.77,8.83,0
1,5,2023-04,1256,8.77,8.92,0
1,5,2023-05,1206,8.77,9.0,0
1,5,2023-06,1313,8.77,9.08,0
1,5,2023-07,1300,8.77,9.17,0
1,5,2023-08,1424,8.77,9.25,0
1,5,2023-09,1368,8.77,9.33,0
1,5,2023-10,1178,8.77,9.42,0
1,5,2023-11,1127,8.77,9.5,0
1,5,2023-12,1154,8.77,9.58,0
1,5,2024-01,1374,8.77,9.67,0
1,5,2024-02,1289,8.77,9.75,0
1,5,2024-03,1367,8.77,9.83,0
1,5,2024-04,1214,8.77,9.92,0
1,5,2024-05,1436,8.77,10.0,0
