# SYNTHETIC. Harvest work orders, one per block per cutting day. actual_qty is the sum of the per-worker rows on that block that day and reconciles to the client's REAL block-month bunch counts. The plan is generated: backed out through an adherence model driven by real daily rainfall, road condition and gang attendance, calibrated to a 78% bunch-weighted mean. Stands in for EPMS t_harvesting_plan / t_harvester_assignment.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to
WO-2025-0101-H-001,2025-01-01,harvest,harvest,1,2,G1-01,6,5,562,512,bunches,6.0,5.0,completed,07:07,13:22,
WO-2025-0101-H-002,2025-01-01,harvest,harvest,1,3,G1-01,4,4,429,402,bunches,4.0,4.0,completed,07:10,14:07,
WO-2025-0101-H-003,2025-01-01,harvest,harvest,1,9,G1-01,8,7,779,696,bunches,8.0,7.0,completed,07:19,13:58,
WO-2025-0101-H-004,2025-01-01,harvest,harvest,1,14,G1-02,8,7,832,708,bunches,8.0,7.0,completed,07:07,13:17,
WO-2025-0101-H-005,2025-01-01,harvest,harvest,1,16,G1-02,6,6,583,637,bunches,6.0,6.0,completed,06:50,14:40,
WO-2025-0101-H-006,2025-01-01,harvest,harvest,1,20,G1-02,4,5,436,487,bunches,4.0,5.0,completed,06:50,14:56,
WO-2025-0101-H-007,2025-01-01,harvest,harvest,1,31,G1-04,6,5,663,572,bunches,6.0,5.0,completed,06:46,12:57,
WO-2025-0101-H-008,2025-01-01,harvest,harvest,1,33,G1-04,8,6,844,638,bunches,8.0,6.0,partial,07:09,12:42,WO-2025-0104-H-008
WO-2025-0101-H-009,2025-01-01,harvest,harvest,2,41,G2-01,11,9,1124,1099,bunches,11.0,9.0,completed,07:20,14:43,
WO-2025-0101-H-010,2025-01-01,harvest,harvest,2,47,G2-01,11,9,1067,883,bunches,11.0,9.0,partial,06:54,12:57,WO-2025-0103-H-019
WO-2025-0101-H-011,2025-01-01,harvest,harvest,2,50,G2-02,8,6,754,610,bunches,8.0,6.0,partial,07:07,12:43,WO-2025-0106-H-014
WO-2025-0101-H-012,2025-01-01,harvest,harvest,2,53,G2-02,5,6,554,633,bunches,5.0,6.0,completed,06:56,15:08,
WO-2025-0101-H-013,2025-01-01,harvest,harvest,2,60,G2-03,13,9,1355,1328,bunches,13.0,9.0,completed,07:08,14:19,
