# SYNTHETIC. Harvester supply vs demand. EPMS has t_attendance and m_gang_employee but the EC export carries neither. One harvester per 13 ha; Lebaran dip applied to Mar-Apr.
division_code,month,planted_ha,harvesters_required,harvesters_on_roll,attendance_rate,harvesters_effective,deficit
1,2025-01,985.49,76,79,0.834,66,10
1,2025-02,985.49,76,79,0.889,70,6
1,2025-03,985.49,76,79,0.656,52,24
1,2025-04,985.49,76,79,0.725,57,19
1,2025-05,985.49,76,79,0.871,69,7
1,2025-06,985.49,76,79,0.889,70,6
1,2025-07,985.49,76,79,0.928,73,3
1,2025-08,985.49,76,79,0.919,73,3
1,2025-09,985.49,76,79,0.888,70,6
1,2025-10,985.49,76,79,0.879,69,7
1,2025-11,985.49,76,79,0.836,66,10
2,2025-01,933.47,72,74,0.84,62,10
2,2025-02,933.47,72,74,0.822,61,11
2,2025-03,933.47,72,74,0.657,49,23
2,2025-04,933.47,72,74,0.701,52,20
2,2025-05,933.47,72,74,0.853,63,9
2,2025-06,933.47,72,74,0.879,65,7
2,2025-07,933.47,72,74,0.864,64,8
2,2025-08,933.47,72,74,0.895,66,6
2,2025-09,933.47,72,74,0.923,68,4
2,2025-10,933.47,72,74,0.849,63,9
2,2025-11,933.47,72,74,0.86,64,8
3,2025-01,1125.54,87,90,0.864,78,9
3,2025-02,1125.54,87,90,0.886,80,7
3,2025-03,1125.54,87,90,0.744,67,20
3,2025-04,1125.54,87,90,0.684,62,25
3,2025-05,1125.54,87,90,0.886,80,7
3,2025-06,1125.54,87,90,0.867,78,9
3,2025-07,1125.54,87,90,0.808,73,14
3,2025-08,1125.54,87,90,0.891,80,7
3,2025-09,1125.54,87,90,0.807,73,14
3,2025-10,1125.54,87,90,0.855,77,10
3,2025-11,1125.54,87,90,0.864,78,9
4,2025-01,1051.74,81,78,0.92,72,9
4,2025-02,1051.74,81,78,0.89,69,12
4,2025-03,1051.74,81,78,0.727,57,24
4,2025-04,1051.74,81,78,0.708,55,26
4,2025-05,1051.74,81,78,0.855,67,14
4,2025-06,1051.74,81,78,0.85,66,15
4,2025-07,1051.74,81,78,0.9,70,11
4,2025-08,1051.74,81,78,0.903,70,11
4,2025-09,1051.74,81,78,0.845,66,15
4,2025-10,1051.74,81,78,0.894,70,11
4,2025-11,1051.74,81,78,0.844,66,15
5,2025-01,852.26,66,72,0.907,65,1
5,2025-02,852.26,66,72,0.916,66,0
5,2025-03,852.26,66,72,0.664,48,18
5,2025-04,852.26,66,72,0.756,54,12
5,2025-05,852.26,66,72,0.831,60,6
5,2025-06,852.26,66,72,0.92,66,0
5,2025-07,852.26,66,72,0.865,62,4
5,2025-08,852.26,66,72,0.905,65,1
5,2025-09,852.26,66,72,0.888,64,2
5,2025-10,852.26,66,72,0.921,66,0
5,2025-11,852.26,66,72,0.825,59,7
6,2025-01,1198.0,92,97,0.85,82,10
6,2025-02,1198.0,92,97,0.897,87,5
6,2025-03,1198.0,92,97,0.696,68,24
6,2025-04,1198.0,92,97,0.697,68,24
6,2025-05,1198.0,92,97,0.913,89,3
6,2025-06,1198.0,92,97,0.852,83,9
6,2025-07,1198.0,92,97,0.809,78,14
6,2025-08,1198.0,92,97,0.815,79,13
6,2025-09,1198.0,92,97,0.818,79,13
6,2025-10,1198.0,92,97,0.814,79,13
6,2025-11,1198.0,92,97,0.86,83,9
7,2025-01,1085.45,83,85,0.816,69,14
7,2025-02,1085.45,83,85,0.894,76,7
7,2025-03,1085.45,83,85,0.657,56,27
7,2025-04,1085.45,83,85,0.656,56,27
7,2025-05,1085.45,83,85,0.857,73,10
7,2025-06,1085.45,83,85,0.895,76,7
7,2025-07,1085.45,83,85,0.875,74,9
7,2025-08,1085.45,83,85,0.87,74,9
7,2025-09,1085.45,83,85,0.893,76,7
7,2025-10,1085.45,83,85,0.93,79,4
7,2025-11,1085.45,83,85,0.887,75,8
