# SYNTHETIC. Material documents: MATDOC. 101 goods receipt, 201 issue to cost centre, 261 issue to a PM order, 551 scrapped at a count, 701/702 count differences. From 2025-01-01 every issue carries the work order, trip day or PM order it came from; earlier issues were generated from the same drivers and carry none.
mblnr,zeile,budat,bwart,matnr,werks,lgort,menge,meins,shkzg,kostl,aufnr,block_code,rsnum,ebeln,ebelp
4900000001,0001,2023-06-01,201,AC-001,EC,CS01,77.0,L,H,EC-D3,,,,,
4900000002,0001,2023-06-01,201,AC-003,EC,CS01,1.3,L,H,EC-D6,,,,,
4900000003,0001,2023-06-01,201,FU-001,EC,CS01,97.4,L,H,EC-D1,,,,,
4900000004,0001,2023-06-01,201,FU-001,EC,CS01,135.1,L,H,EC-D2,,,,,
4900000005,0001,2023-06-01,201,FU-001,EC,CS01,155.5,L,H,EC-D3,,,,,
4900000006,0001,2023-06-01,201,FU-001,EC,CS01,167.5,L,H,EC-D4,,,,,
4900000007,0001,2023-06-01,201,FU-001,EC,CS01,101.9,L,H,EC-D5,,,,,
4900000008,0001,2023-06-01,201,FU-001,EC,CS01,131.8,L,H,EC-D6,,,,,
4900000009,0001,2023-06-01,201,FU-001,EC,CS01,122.4,L,H,EC-D7,,,,,
4900000010,0001,2023-06-01,201,FU-001,EC,CS01,644.2,L,H,EC-GEN,,,,,
4900000011,0001,2023-06-02,201,AC-001,EC,CS01,89.4,L,H,EC-D2,,,,,
4900000012,0001,2023-06-02,201,AC-003,EC,CS01,7.59,L,H,EC-D6,,,,,
4900000013,0001,2023-06-02,201,FU-001,EC,CS01,105.9,L,H,EC-D1,,,,,
4900000014,0001,2023-06-02,201,FU-001,EC,CS01,116.3,L,H,EC-D2,,,,,
4900000015,0001,2023-06-02,201,FU-001,EC,CS01,150.1,L,H,EC-D3,,,,,
4900000016,0001,2023-06-02,201,FU-001,EC,CS01,134.6,L,H,EC-D4,,,,,
4900000017,0001,2023-06-02,201,FU-001,EC,CS01,85.0,L,H,EC-D5,,,,,
4900000018,0001,2023-06-02,201,FU-001,EC,CS01,108.8,L,H,EC-D6,,,,,
4900000019,0001,2023-06-02,201,FU-001,EC,CS01,147.9,L,H,EC-D7,,,,,
4900000020,0001,2023-06-02,201,FU-001,EC,CS01,620.7,L,H,EC-GEN,,,,,
4900000021,0001,2023-06-02,201,SP-003,EC,CS01,1,EA,H,EC-WS,,,,,
4900000022,0001,2023-06-03,201,AC-001,EC,CS01,86.3,L,H,EC-D5,,,,,
4900000023,0001,2023-06-03,201,AC-003,EC,CS01,5.47,L,H,EC-D5,,,,,
4900000024,0001,2023-06-03,201,FU-001,EC,CS01,116.5,L,H,EC-D1,,,,,
4900000025,0001,2023-06-03,201,FU-001,EC,CS01,91.2,L,H,EC-D2,,,,,
4900000026,0001,2023-06-03,201,FU-001,EC,CS01,135.9,L,H,EC-D3,,,,,
4900000027,0001,2023-06-03,201,FU-001,EC,CS01,138.7,L,H,EC-D4,,,,,
4900000028,0001,2023-06-03,201,FU-001,EC,CS01,102.5,L,H,EC-D5,,,,,
4900000029,0001,2023-06-03,201,FU-001,EC,CS01,142.5,L,H,EC-D6,,,,,
4900000030,0001,2023-06-03,201,FU-001,EC,CS01,115.2,L,H,EC-D7,,,,,
