# SYNTHETIC. Purchase order lines: EKKO, EKPO, EKET. bsart RUSH is a local buy made because the store could not meet an issue. delay_cause is the generator's ANSWER KEY - a real extract has no such column, and no model may read it.
ebeln,ebelp,bedat,bsart,lifnr,matnr,werks,menge,meins,netpr,eindt,status,delay_cause
4500000001,00010,2023-06-03,NB,V301,FU-001,EC,8000,L,13254,2023-06-08,closed,
4500000002,00010,2023-06-06,NB,V401,SP-005,EC,4,EA,460854,2023-06-16,closed,
4500000003,00010,2023-06-08,NB,V401,SP-003,EC,5,EA,4031018,2023-06-18,closed,
4500000004,00010,2023-06-09,NB,V301,FU-001,EC,8000,L,13734,2023-06-14,closed,
4500000005,00010,2023-06-12,NB,V402,SP-002,EC,5,EA,9093845,2023-07-03,closed,
4500000006,00010,2023-06-15,NB,V301,FU-001,EC,8000,L,13783,2023-06-20,closed,
4500000007,00010,2023-06-16,NB,V402,SP-006,EC,4,EA,1235753,2023-07-07,closed,
4500000008,00010,2023-06-17,NB,V401,SP-007,EC,4,EA,804528,2023-06-27,closed,
4500000009,00010,2023-06-21,NB,V301,FU-001,EC,8000,L,13801,2023-06-26,closed,
4500000010,00010,2023-06-22,NB,V201,AC-001,EC,2900,L,69901,2023-07-13,closed,
4500000011,00010,2023-06-22,NB,V402,SP-004,EC,4,EA,657551,2023-07-13,closed,
4500000012,00010,2023-06-23,NB,V401,SP-001,EC,4,EA,3433134,2023-07-03,closed,
4500000013,00010,2023-06-26,NB,V301,FU-001,EC,8000,L,13112,2023-07-01,closed,
4500000014,00010,2023-06-27,NB,V201,AC-003,EC,100,L,91275,2023-07-18,closed,
4500000015,00010,2023-06-29,NB,V201,AC-002,EC,42,KG,617847,2023-07-20,closed,
4500000016,00010,2023-07-02,NB,V301,FU-001,EC,8000,L,13474,2023-07-07,closed,
4500000017,00010,2023-07-04,NB,V401,SP-005,EC,4,EA,453679,2023-07-14,closed,
4500000018,00010,2023-07-07,NB,V301,FU-001,EC,8000,L,13501,2023-07-12,closed,
4500000019,00010,2023-07-13,NB,V301,FU-001,EC,8000,L,13124,2023-07-18,closed,
4500000020,00010,2023-07-13,NB,V402,SP-006,EC,4,EA,1178167,2023-08-03,closed,
4500000021,00010,2023-07-18,NB,V401,SP-007,EC,4,EA,790205,2023-07-28,closed,
