# SYNTHETIC. Fertiliser reservations: RESB, one per block, material and round. kzear X is a final issue. The 2025-03 round's issues dated after 2025-05-23 in ec_fertiliser.csv are open here, which is what they were on that day; 2025-10 is the programme on the books.
rsnum,matnr,werks,bdter,bdmng,enmng,meins,kzear,kostl,block_code,window
0000000001,FE-001,EC,2023-10-15,2737.5,2195.1,KG,X,EC-D1,1,2023-10
0000000002,FE-002,EC,2023-10-15,673.8,625.8,KG,X,EC-D1,1,2023-10
0000000003,FE-003,EC,2023-10-15,505.4,318.7,KG,X,EC-D1,1,2023-10
0000000004,FE-004,EC,2023-10-15,63.2,58.3,KG,X,EC-D1,1,2023-10
0000000005,FE-001,EC,2023-10-15,8226.2,9048.0,KG,X,EC-D1,2,2023-10
0000000006,FE-002,EC,2023-10-15,2024.9,1398.2,KG,X,EC-D1,2,2023-10
0000000007,FE-003,EC,2023-10-15,1518.7,1492.7,KG,X,EC-D1,2,2023-10
0000000008,FE-004,EC,2023-10-15,189.8,167.3,KG,X,EC-D1,2,2023-10
0000000009,FE-001,EC,2023-10-15,6234.3,5475.1,KG,X,EC-D1,3,2023-10
0000000010,FE-002,EC,2023-10-15,1534.6,1132.4,KG,X,EC-D1,3,2023-10
0000000011,FE-003,EC,2023-10-15,1150.9,929.1,KG,X,EC-D1,3,2023-10
0000000012,FE-004,EC,2023-10-15,143.9,112.4,KG,X,EC-D1,3,2023-10
0000000013,FE-001,EC,2023-10-15,6153.2,5301.6,KG,X,EC-D1,4,2023-10
0000000014,FE-002,EC,2023-10-15,1514.6,1696.4,KG,X,EC-D1,4,2023-10
0000000015,FE-003,EC,2023-10-15,1136.0,990.0,KG,X,EC-D1,4,2023-10
0000000016,FE-004,EC,2023-10-15,142.0,136.7,KG,X,EC-D1,4,2023-10
0000000017,FE-001,EC,2023-10-15,4086.4,3325.5,KG,X,EC-D1,5,2023-10
0000000018,FE-002,EC,2023-10-15,1005.9,1020.1,KG,X,EC-D1,5,2023-10
0000000019,FE-003,EC,2023-10-15,754.4,568.4,KG,X,EC-D1,5,2023-10
0000000020,FE-004,EC,2023-10-15,94.3,89.1,KG,X,EC-D1,5,2023-10
0000000021,FE-001,EC,2023-10-15,3221.8,3407.3,KG,X,EC-D1,6,2023-10
0000000022,FE-002,EC,2023-10-15,793.1,669.0,KG,X,EC-D1,6,2023-10
0000000023,FE-003,EC,2023-10-15,594.8,666.2,KG,X,EC-D1,6,2023-10
0000000024,FE-004,EC,2023-10-15,74.4,59.1,KG,X,EC-D1,6,2023-10
