# SYNTHETIC. Unrestricted stock on 2025-05-23: MARD. Equal to the opening stock plus every movement.
matnr,maktx,werks,lgort,labst,meins,value_idr,last_count
FE-001,NPK 12-12-17-2,EC,CS01,760284.42,KG,6462417570,2025-03-31
FE-002,Urea,EC,CS01,132832.57,KG,996244275,2025-03-31
FE-003,Kieserite,EC,CS01,103653.76,KG,466441920,2025-03-31
FE-004,Borate,EC,CS01,14778.08,KG,325117760,2025-03-31
AC-001,Glyphosate 480 SL,EC,CS01,1082.06,L,75744200,2025-03-31
AC-002,Metsulfuron-methyl 20 WG,EC,CS01,37.31,KG,22386000,2025-03-31
AC-003,Hexaconazole 5 SC,EC,CS01,46.42,L,4177800,2025-03-31
AC-004,Rodenticide bait,EC,CS01,12.09,KG,544050,2025-03-31
FU-001,Diesel (B40),EC,CS01,22116.8,L,298576800,2025-03-31
SP-001,Alternator,EC,CS01,7.0,EA,24500000,2025-03-31
SP-002,Injector pump,EC,CS01,4.0,EA,36000000,2025-03-31
SP-003,Radiator,EC,CS01,1.0,EA,4000000,2025-03-31
SP-004,Wheel bearing,EC,CS01,0.0,EA,0,2025-03-31
SP-005,Hydraulic hose,EC,CS01,5.0,EA,2250000,2025-03-31
SP-006,Clutch plate,EC,CS01,2.0,EA,2400000,2025-03-31
SP-007,Brake shoe,EC,CS01,3.0,EA,2400000,2025-03-31
SP-008,Tyre,EC,CS01,1.0,EA,2800000,2025-03-31
