# SYNTHETIC. Palm census. NO table in the 138-table EPMS schema can hold an infected palm, and the only proxy in the export - grading deductions - is degenerate at 0.25% mean. This entire domain is invented. Ganoderma is generated as decaying foci rather than scattered at random, because that is how basal stem rot actually spreads and a random map would be obviously false.
round,census_date,division_code,block_code,palms_planted,palms_inspected,coverage_pct,ganoderma_confirmed,ganoderma_suspect,beetle_damaged,rat_damaged,palms_felled
R1,2024-11-15,1,1,790,650,82.4,45,69,10,5,13
R2,2025-02-15,1,1,790,627,79.4,49,82,11,4,14
R3,2025-05-15,1,1,790,596,75.5,52,91,12,4,21
R1,2024-11-15,1,2,2412,1737,72.0,144,277,19,8,30
R2,2025-02-15,1,2,2412,1963,81.4,185,295,24,9,57
R3,2025-05-15,1,2,2412,2169,90.0,230,344,30,10,58
R1,2024-11-15,1,3,1916,1720,89.8,154,303,12,4,35
R2,2025-02-15,1,3,1916,1827,95.4,186,346,14,5,0
R3,2025-05-15,1,3,1916,1190,62.2,136,280,10,3,53
R1,2024-11-15,1,4,1855,1163,62.7,119,234,15,5,43
R2,2025-02-15,1,4,1855,1380,74.4,161,267,20,7,18
R3,2025-05-15,1,4,1855,1704,91.9,223,421,28,8,76
R1,2024-11-15,1,5,1218,911,74.8,100,164,4,0,13
R2,2025-02-15,1,5,1218,1025,84.2,129,212,6,0,30
R3,2025-05-15,1,5,1218,892,73.3,126,194,6,0,21
R1,2024-11-15,1,6,957,749,78.3,83,155,9,6,34
R2,2025-02-15,1,6,957,845,88.4,107,204,12,7,36
R3,2025-05-15,1,6,957,715,74.8,102,175,11,6,16
R1,2024-11-15,1,7,2181,1553,71.2,51,99,15,11,1
R2,2025-02-15,1,7,2181,1768,81.1,66,125,19,13,8
R3,2025-05-15,1,7,2181,2059,94.4,87,155,25,15,27
R1,2024-11-15,1,8,4399,3316,75.4,178,298,48,0,74
R2,2025-02-15,1,8,4399,4211,95.7,258,391,69,0,94
R3,2025-05-15,1,8,4399,2901,65.9,199,301,53,0,0
R1,2024-11-15,1,9,3614,3162,87.5,192,369,39,0,15
R2,2025-02-15,1,9,3614,2946,81.5,204,295,42,0,70
R3,2025-05-15,1,9,3614,3133,86.7,244,370,50,0,11
R1,2024-11-15,1,10,4061,3209,79.0,239,417,32,17,63
R2,2025-02-15,1,10,4061,3848,94.8,327,521,45,21,95
R3,2025-05-15,1,10,4061,2907,71.6,277,491,38,16,73
R1,2024-11-15,1,11,4589,3005,65.5,252,383,33,0,40
R2,2025-02-15,1,11,4589,3981,86.8,381,710,50,0,0
R3,2025-05-15,1,11,4589,4051,88.3,435,822,57,0,118
R1,2024-11-15,1,12,3660,2810,76.8,225,446,17,18,25
R2,2025-02-15,1,12,3660,2571,70.3,235,431,18,16,67
R3,2025-05-15,1,12,3660,2627,71.8,270,515,20,17,115
R1,2024-11-15,1,13,4481,3083,68.8,261,458,35,5,59
R2,2025-02-15,1,13,4481,3324,74.2,321,668,43,5,43
R3,2025-05-15,1,13,4481,3749,83.7,407,604,55,6,33
R1,2024-11-15,1,14,4760,3799,79.8,286,443,15,11,98
R2,2025-02-15,1,14,4760,3637,76.4,312,473,17,10,50
R3,2025-05-15,1,14,4760,3994,83.9,384,781,21,11,154
R1,2024-11-15,1,15,4700,4272,90.9,262,470,48,3,49
R2,2025-02-15,1,15,4700,4073,86.7,285,568,52,3,123
R3,2025-05-15,1,15,4700,3027,64.4,238,384,44,2,60
R1,2024-11-15,1,16,3871,2474,63.9,120,242,44,26,23
R2,2025-02-15,1,16,3871,3433,88.7,190,354,70,36,34
R3,2025-05-15,1,16,3871,2985,77.1,186,351,68,31,38
R1,2024-11-15,1,17,3449,2800,81.2,98,161,37,23,23
R2,2025-02-15,1,17,3449,2996,86.9,119,201,46,24,34
R3,2025-05-15,1,17,3449,2322,67.3,104,153,40,19,18
R1,2024-11-15,1,18,2944,2357,80.1,76,139,45,14,27
R2,2025-02-15,1,18,2944,2605,88.5,96,181,57,16,5
R3,2025-05-15,1,18,2944,2324,78.9,97,182,57,14,17
R1,2024-11-15,1,19,2769,2474,89.4,45,79,38,26,0
R2,2025-02-15,1,19,2769,2367,85.5,49,99,41,25,20
R3,2025-05-15,1,19,2769,2037,73.6,47,82,40,21,11
R1,2024-11-15,1,20,2704,1884,69.7,20,41,31,9,7
R2,2025-02-15,1,20,2704,2383,88.2,29,56,46,11,2
R3,2025-05-15,1,20,2704,2327,86.1,32,47,50,11,9
R1,2024-11-15,1,21,4138,3836,92.7,61,113,33,0,3
R2,2025-02-15,1,21,4138,3815,92.2,69,106,38,0,5
R3,2025-05-15,1,21,4138,3354,81.1,69,144,37,0,24
R1,2024-11-15,1,22,4043,3379,83.6,78,141,64,19,6
R2,2025-02-15,1,22,4043,2757,68.2,73,148,60,16,1
R3,2025-05-15,1,22,4043,3398,84.1,101,205,83,19,3
R1,2024-11-15,1,23,3932,3386,86.1,104,202,60,9,16
R2,2025-02-15,1,23,3932,2777,70.6,97,179,56,7,31
R3,2025-05-15,1,23,3932,3586,91.2,141,234,82,9,10
R1,2024-11-15,1,24,3370,2525,74.9,83,133,27,0,22
R2,2025-02-15,1,24,3370,2364,70.2,89,135,29,0,13
R3,2025-05-15,1,24,3370,2929,86.9,124,227,40,0,9
R1,2024-11-15,1,25,4032,3468,86.0,120,210,42,21,13
R2,2025-02-15,1,25,4032,3492,86.6,138,268,48,21,29
R3,2025-05-15,1,25,4032,3196,79.3,142,233,49,19,55
R1,2024-11-15,1,26,3816,2664,69.8,91,156,25,17,29
R2,2025-02-15,1,26,3816,2935,76.9,114,225,32,19,11
R3,2025-05-15,1,26,3816,3090,81.0,135,204,38,20,11
R1,2024-11-15,1,27,3886,3579,92.1,160,334,47,7,71
R2,2025-02-15,1,27,3886,3728,96.0,191,291,56,8,64
R3,2025-05-15,1,27,3886,2866,73.8,164,323,48,6,52
R1,2024-11-15,1,28,3698,2966,80.2,95,183,34,2,30
R2,2025-02-15,1,28,3698,3406,92.1,124,179,45,2,19
R3,2025-05-15,1,28,3698,2998,81.1,123,251,44,2,43
R1,2024-11-15,1,29,3981,2487,62.5,61,108,37,15,14
R2,2025-02-15,1,29,3981,2743,68.9,77,121,47,16,17
