# SYNTHETIC. Pest and disease work orders: census walks, treatments and follow-ups on the P&D teams. NO EPMS table exists for any of this - the client cannot schedule pest work today because there is nowhere to record that they did. Census coverage from ec_pest_census.csv is the order's adherence; about half the follow-ups due in the window were done late and the rest never.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to
WO-2025-0101-P-001,2025-01-01,pest,treatment,3,112,P3-01,1,1,87,85,palms,1.0,1.0,completed,07:04,13:54,
WO-2025-0103-P-001,2025-01-03,pest,treatment,7,336,P7-01,8,6,239,175,palms,8.0,6.0,partial,07:05,12:27,
WO-2025-0104-P-001,2025-01-04,pest,treatment,2,41,P2-01,1,1,77,63,palms,1.0,1.0,partial,06:56,12:28,
WO-2025-0106-P-001,2025-01-06,pest,treatment,4,151,P4-01,2,1,148,117,palms,2.0,1.0,partial,07:14,13:06,
WO-2025-0106-P-002,2025-01-06,pest,followup,4,153,P4-01,1,0,113,0,palms,1.0,0.0,not_started,07:09,,
WO-2025-0106-P-003,2025-01-06,pest,treatment,5,188,P5-01,14,12,391,343,palms,14.0,12.0,completed,07:18,13:33,
WO-2025-0107-P-001,2025-01-07,pest,followup,1,9,P1-01,12,0,336,0,palms,12.0,0.0,not_started,07:10,,
WO-2025-0108-P-001,2025-01-08,pest,followup,1,10,P1-01,14,0,399,0,palms,14.0,0.0,not_started,07:21,,
WO-2025-0109-P-001,2025-01-09,pest,followup,1,37,P1-01,1,0,87,0,palms,1.0,0.0,not_started,06:54,,
WO-2025-0109-P-002,2025-01-09,pest,followup,4,122,P4-01,1,0,51,0,palms,1.0,0.0,not_started,07:15,,
WO-2025-0109-P-003,2025-01-09,pest,treatment,7,289,P7-01,1,1,74,74,palms,1.0,1.0,completed,07:15,14:38,
WO-2025-0110-P-001,2025-01-10,pest,followup,4,124,P4-01,1,0,33,0,palms,1.0,0.0,not_started,07:22,,
WO-2025-0110-P-002,2025-01-10,pest,treatment,7,304,P7-01,1,1,95,82,palms,1.0,1.0,completed,07:10,13:20,
WO-2025-0111-P-001,2025-01-11,pest,followup,3,75,P3-01,2,0,146,0,palms,2.0,0.0,not_started,07:10,,
WO-2025-0115-P-001,2025-01-15,pest,treatment,3,84,P3-01,24,21,694,613,palms,24.0,21.0,completed,07:01,12:57,
