# SYNTHETIC. Treatment records and follow-up dates. Invented; nothing in EPMS records a pest treatment. followup_done and days_overdue are READ BACK from the pest work order ledger (ec_pest_orders.csv).
treatment_id,division_code,block_code,pest,method,treated_date,palms_treated,interval_days,followup_due,days_overdue,followup_done
TR-00001,1,2,ganoderma,soil mounding + trunk injection,2024-11-06,373,180,2025-05-05,0,
TR-00002,1,3,ganoderma,soil mounding + trunk injection,2024-11-29,205,180,2025-05-28,0,
TR-00003,1,4,ganoderma,soil mounding + trunk injection,2024-09-15,244,180,2025-03-14,0,
TR-00004,1,5,ganoderma,soil mounding + trunk injection,2025-05-08,269,180,2025-11-04,0,
TR-00005,1,6,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-30,23,90,2025-04-30,0,
TR-00006,1,7,ganoderma,soil mounding + trunk injection,2025-02-12,127,180,2025-08-11,0,
TR-00007,1,8,ganoderma,soil mounding + trunk injection,2025-04-18,430,180,2025-10-15,0,
TR-00008,1,9,ganoderma,soil mounding + trunk injection,2024-07-11,336,180,2025-01-07,0,
TR-00009,1,9,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-03,76,90,2025-03-03,0,2025-03-03
TR-00010,1,10,ganoderma,soil mounding + trunk injection,2024-07-12,399,180,2025-01-08,135,
TR-00011,1,11,ganoderma,soil mounding + trunk injection,2024-08-27,425,180,2025-02-23,0,2025-02-24
TR-00012,1,12,ganoderma,soil mounding + trunk injection,2025-04-07,570,180,2025-10-04,0,
TR-00013,1,13,ganoderma,soil mounding + trunk injection,2024-08-05,780,180,2025-02-01,0,
TR-00014,1,15,ganoderma,soil mounding + trunk injection,2024-08-04,498,180,2025-01-31,0,
TR-00015,1,16,ganoderma,soil mounding + trunk injection,2024-11-24,297,180,2025-05-23,0,
TR-00016,1,16,rhinoceros_beetle,pheromone trap + prophylactic,2025-04-04,156,90,2025-07-03,0,
TR-00017,1,17,ganoderma,soil mounding + trunk injection,2024-08-05,158,180,2025-02-01,0,2025-02-01
TR-00018,1,17,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-24,58,90,2025-04-24,29,
TR-00019,1,18,ganoderma,soil mounding + trunk injection,2025-05-06,115,180,2025-11-02,0,
TR-00020,1,18,rhinoceros_beetle,pheromone trap + prophylactic,2025-03-12,65,90,2025-06-10,0,
TR-00021,1,19,ganoderma,soil mounding + trunk injection,2025-04-12,81,180,2025-10-09,0,
TR-00022,1,19,rhinoceros_beetle,pheromone trap + prophylactic,2025-04-06,82,90,2025-07-05,0,
TR-00023,1,20,rhinoceros_beetle,pheromone trap + prophylactic,2024-08-20,61,90,2024-11-18,186,
TR-00024,1,21,ganoderma,soil mounding + trunk injection,2025-04-21,82,180,2025-10-18,0,
TR-00025,1,23,ganoderma,soil mounding + trunk injection,2024-08-22,279,180,2025-02-18,0,2025-02-27
TR-00026,1,23,rhinoceros_beetle,pheromone trap + prophylactic,2024-09-13,102,90,2024-12-12,162,
TR-00027,1,24,ganoderma,soil mounding + trunk injection,2024-09-16,137,180,2025-03-15,0,2025-03-31
TR-00028,1,26,ganoderma,soil mounding + trunk injection,2025-04-13,274,180,2025-10-10,0,
TR-00029,1,27,ganoderma,soil mounding + trunk injection,2025-01-20,251,180,2025-07-19,0,
TR-00030,1,27,rhinoceros_beetle,pheromone trap + prophylactic,2025-03-05,111,90,2025-06-03,0,
TR-00031,1,28,ganoderma,soil mounding + trunk injection,2025-04-12,141,180,2025-10-09,0,
TR-00032,1,29,ganoderma,soil mounding + trunk injection,2024-07-15,202,180,2025-01-11,0,2025-01-20
TR-00033,1,29,rhinoceros_beetle,pheromone trap + prophylactic,2024-11-18,77,90,2025-02-16,0,2025-02-24
TR-00034,1,32,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-18,67,90,2025-04-18,35,
TR-00035,1,33,ganoderma,soil mounding + trunk injection,2024-08-26,67,180,2025-02-22,0,2025-03-11
TR-00036,1,33,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-23,78,90,2025-03-23,0,
TR-00037,1,35,rhinoceros_beetle,pheromone trap + prophylactic,2025-02-07,164,90,2025-05-08,0,2025-05-15
TR-00038,1,36,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-30,157,90,2025-04-30,0,
TR-00039,1,37,rhinoceros_beetle,pheromone trap + prophylactic,2024-10-11,87,90,2025-01-09,0,
TR-00040,2,40,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-12,40,90,2025-03-12,0,2025-03-27
TR-00041,2,41,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-04,63,90,2025-04-04,0,
TR-00042,2,43,rhinoceros_beetle,pheromone trap + prophylactic,2025-04-10,108,90,2025-07-09,0,
TR-00043,2,54,rhinoceros_beetle,pheromone trap + prophylactic,2024-08-26,116,90,2024-11-24,180,
TR-00044,2,55,rhinoceros_beetle,pheromone trap + prophylactic,2024-10-22,80,90,2025-01-20,0,
TR-00045,2,56,rhinoceros_beetle,pheromone trap + prophylactic,2024-08-03,146,90,2024-11-01,203,
TR-00046,2,57,rhinoceros_beetle,pheromone trap + prophylactic,2025-04-10,112,90,2025-07-09,0,
TR-00047,2,59,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-12,67,90,2025-03-12,0,
TR-00048,2,62,rhinoceros_beetle,pheromone trap + prophylactic,2025-05-07,70,90,2025-08-05,0,
TR-00049,2,64,rhinoceros_beetle,pheromone trap + prophylactic,2025-05-08,100,90,2025-08-06,0,
TR-00050,2,66,rhinoceros_beetle,pheromone trap + prophylactic,2024-10-17,98,90,2025-01-15,0,2025-01-18
TR-00051,2,68,rhinoceros_beetle,pheromone trap + prophylactic,2024-11-30,86,90,2025-02-28,84,
TR-00052,2,70,ganoderma,soil mounding + trunk injection,2024-12-28,73,180,2025-06-26,0,
TR-00053,2,70,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-22,101,90,2025-03-22,0,2025-03-24
TR-00054,2,71,ganoderma,soil mounding + trunk injection,2025-01-25,66,180,2025-07-24,0,
TR-00055,2,72,ganoderma,soil mounding + trunk injection,2024-09-22,62,180,2025-03-21,63,
TR-00056,2,72,rhinoceros_beetle,pheromone trap + prophylactic,2024-11-03,124,90,2025-02-01,0,2025-02-01
TR-00057,2,74,rhinoceros_beetle,pheromone trap + prophylactic,2025-03-30,128,90,2025-06-28,0,
TR-00058,3,75,ganoderma,soil mounding + trunk injection,2024-12-06,519,180,2025-06-04,0,
TR-00059,3,75,rhinoceros_beetle,pheromone trap + prophylactic,2024-10-13,146,90,2025-01-11,0,
TR-00060,3,77,ganoderma,soil mounding + trunk injection,2024-12-16,320,180,2025-06-14,0,
TR-00061,3,78,ganoderma,soil mounding + trunk injection,2024-07-29,427,180,2025-01-25,0,2025-01-25
TR-00062,3,78,rhinoceros_beetle,pheromone trap + prophylactic,2024-08-25,77,90,2024-11-23,181,
TR-00063,3,79,rat,bait station rotation,2024-11-19,42,60,2025-01-18,125,
TR-00064,3,80,ganoderma,soil mounding + trunk injection,2024-10-24,77,180,2025-04-22,0,
TR-00065,3,81,ganoderma,soil mounding + trunk injection,2025-04-17,81,180,2025-10-14,0,
TR-00066,3,82,ganoderma,soil mounding + trunk injection,2025-02-05,19,180,2025-08-04,0,
TR-00067,3,82,rhinoceros_beetle,pheromone trap + prophylactic,2024-12-31,6,90,2025-03-31,53,
TR-00068,3,83,rhinoceros_beetle,pheromone trap + prophylactic,2025-01-25,196,90,2025-04-25,0,2025-05-05
TR-00069,3,84,ganoderma,soil mounding + trunk injection,2025-01-15,613,180,2025-07-14,0,
TR-00070,3,84,rhinoceros_beetle,pheromone trap + prophylactic,2025-02-03,98,90,2025-05-04,0,2025-05-07
TR-00071,3,85,rhinoceros_beetle,pheromone trap + prophylactic,2024-11-21,75,90,2025-02-19,0,2025-02-26
