# SYNTHETIC. Estate road segments with condition and grading history. SAP PM holds the work orders; the export carries none. Segment geometry follows the longest edge of each real block polygon.
segment_id,division_code,block_code,lon_a,lat_a,lon_b,lat_b,length_km,condition,condition_score,last_graded,days_since_graded,culvert_repairs_12m
RS-0001,1,1,140.844012,-7.041274,140.844012,-7.040463,0.09,fair,0.416,2024-05-16,372,0
RS-0002,1,2,140.843962,-7.045007,140.843962,-7.044027,0.109,fair,0.295,2024-09-04,261,0
RS-0003,1,3,140.840239,-7.04547,140.839567,-7.045437,0.075,poor,0.602,2024-08-01,295,0
RS-0004,1,4,140.844031,-7.049252,140.844031,-7.048498,0.084,fair,0.335,2025-05-18,5,0
RS-0005,1,5,140.841061,-7.052652,140.841357,-7.053557,0.106,good,0.246,2025-02-17,95,0
RS-0006,1,6,140.843952,-7.05617,140.843974,-7.055347,0.092,fair,0.311,2025-05-03,20,0
RS-0007,1,7,140.853161,-7.039258,140.853162,-7.037887,0.153,fair,0.273,2024-09-22,243,0
RS-0008,1,8,140.847044,-7.043123,140.848487,-7.043123,0.161,fair,0.396,2025-01-02,141,0
RS-0009,1,9,140.848487,-7.043123,140.847044,-7.043123,0.161,fair,0.304,2024-09-27,238,0
RS-0010,1,10,140.853581,-7.04818,140.853581,-7.046898,0.143,fair,0.351,2025-04-11,42,0
RS-0011,1,11,140.845751,-7.048214,140.84468,-7.048192,0.119,good,0.242,2024-08-15,281,0
RS-0012,1,12,140.853617,-7.052831,140.853618,-7.051963,0.097,good,0.131,2025-01-11,132,0
RS-0013,1,13,140.8522,-7.056944,140.853594,-7.056948,0.155,fair,0.251,2024-11-08,196,0
RS-0014,1,14,140.853594,-7.056948,140.8522,-7.056944,0.155,good,0.13,2024-12-09,165,0
RS-0015,1,15,140.843747,-7.060986,140.844283,-7.062656,0.195,good,0.161,2024-09-26,239,0
RS-0016,1,16,140.845912,-7.062656,140.844876,-7.062656,0.115,poor,0.583,2025-01-09,134,1
RS-0017,1,17,140.850707,-7.065436,140.849706,-7.065421,0.111,fair,0.304,2025-05-17,6,0
RS-0018,1,18,140.846314,-7.069494,140.846831,-7.070901,0.167,fair,0.473,2025-01-25,118,0
RS-0019,1,19,140.850512,-7.073815,140.852668,-7.07387,0.24,poor,0.512,2024-08-30,266,0
RS-0020,1,20,140.85817,-7.034989,140.855693,-7.035011,0.276,good,0.186,2024-10-19,216,0
RS-0021,1,21,140.857761,-7.040205,140.859361,-7.040206,0.178,fair,0.45,2024-12-21,153,0
RS-0022,1,22,140.859361,-7.040206,140.857761,-7.040205,0.178,good,0.181,2024-02-27,451,0
RS-0023,1,23,140.862269,-7.044809,140.862281,-7.043751,0.118,fair,0.337,2025-01-03,140,0
RS-0024,1,24,140.853581,-7.046898,140.853581,-7.04818,0.143,fair,0.305,2024-08-05,291,0
RS-0025,1,25,140.862276,-7.050957,140.862283,-7.049578,0.153,good,0.0,2024-06-15,342,0
RS-0026,1,26,140.862245,-7.052723,140.862273,-7.05169,0.115,good,0.247,2024-10-21,214,0
RS-0027,1,27,140.859068,-7.057015,140.860296,-7.057049,0.137,fair,0.347,2024-09-01,264,0
RS-0028,1,28,140.857224,-7.059738,140.858493,-7.059724,0.141,fair,0.424,2024-09-20,245,0
RS-0029,1,29,140.862216,-7.062094,140.862216,-7.060786,0.146,fair,0.406,2024-07-26,301,0
RS-0030,1,30,140.857142,-7.065498,140.858238,-7.065505,0.122,poor,0.536,2025-04-02,51,1
RS-0031,1,31,140.857374,-7.068254,140.859166,-7.068255,0.199,fair,0.47,2024-11-24,180,0
RS-0032,1,32,140.857432,-7.071029,140.859324,-7.071072,0.211,fair,0.469,2024-06-24,333,0
RS-0033,1,33,140.859324,-7.071072,140.857432,-7.071029,0.211,fair,0.427,2024-03-11,438,0
RS-0034,1,34,140.870028,-7.057192,140.868824,-7.057192,0.134,fair,0.274,2024-06-29,328,0
RS-0035,1,35,140.862216,-7.060786,140.862216,-7.062094,0.146,fair,0.428,2025-04-14,39,0
RS-0036,1,36,140.864378,-7.065514,140.865885,-7.065515,0.168,poor,0.566,2024-08-03,293,2
RS-0037,1,37,140.865885,-7.065515,140.864378,-7.065514,0.168,fair,0.434,2024-03-12,437,0
RS-0038,1,38,140.869104,-7.071203,140.8702,-7.071236,0.122,fair,0.409,2024-05-26,362,0
RS-0039,1,39,140.871238,-7.073441,140.871247,-7.071368,0.231,fair,0.395,2024-10-01,234,0
RS-0040,2,40,140.86508,-7.037401,140.866446,-7.037401,0.152,poor,0.518,2024-12-21,153,1
RS-0041,2,41,140.862308,-7.038015,140.862298,-7.039442,0.159,fair,0.447,2024-12-12,162,0
