# SYNTHETIC. Rotation state as at 2025-05-23. last_harvest_date is the block's last placed cutting day, consistent with the trip ledger and the work orders; the target round is the interval the block held over January-February, clamped to 5-14 days. Gang assignment is invented.
division_code,block_code,gang_code,rotation_target_days,last_harvest_date,days_since_harvest
1,1,G1-01,5,2025-05-19,4
1,2,G1-01,5,2025-05-19,4
1,3,G1-01,5,2025-05-17,6
1,4,G1-01,5,2025-05-16,7
1,5,G1-01,6,2025-05-22,1
1,6,G1-01,6,2025-05-21,2
1,7,G1-01,5,2025-05-21,2
1,8,G1-01,5,2025-05-22,1
1,9,G1-01,5,2025-05-19,4
1,10,G1-01,5,2025-05-23,0
1,11,G1-02,5,2025-05-21,2
1,12,G1-02,5,2025-05-22,1
1,13,G1-02,5,2025-05-22,1
1,14,G1-02,5,2025-05-17,6
1,15,G1-02,5,2025-05-15,8
1,16,G1-02,5,2025-05-14,9
1,17,G1-02,5,2025-05-18,5
1,18,G1-02,5,2025-05-21,2
1,19,G1-02,5,2025-05-23,0
1,20,G1-02,5,2025-05-18,5
1,21,G1-03,5,2025-05-20,3
1,22,G1-03,5,2025-05-19,4
1,23,G1-03,5,2025-05-16,7
1,24,G1-03,5,2025-05-23,0
1,25,G1-03,5,2025-05-22,1
1,26,G1-03,5,2025-05-21,2
1,27,G1-03,5,2025-05-23,0
1,28,G1-03,5,2025-05-23,0
1,29,G1-03,5,2025-05-23,0
1,30,G1-03,5,2025-05-20,3
1,31,G1-04,5,2025-05-21,2
1,32,G1-04,5,2025-05-18,5
1,33,G1-04,5,2025-05-16,7
1,34,G1-04,5,2025-05-23,0
1,35,G1-04,5,2025-05-20,3
1,36,G1-04,5,2025-05-21,2
1,37,G1-04,5,2025-05-21,2
1,38,G1-04,5,2025-05-21,2
1,39,G1-04,5,2025-05-23,0
2,40,G2-01,10,2025-05-20,3
2,41,G2-01,7,2025-05-16,7
2,42,G2-01,5,2025-05-15,8
2,43,G2-01,5,2025-05-23,0
2,44,G2-01,5,2025-05-22,1
2,45,G2-01,5,2025-05-23,0
2,46,G2-01,7,2025-05-21,2
2,47,G2-01,5,2025-05-13,10
2,49,G2-01,5,2025-05-21,2
2,50,G2-02,5,2025-05-21,2
2,51,G2-02,5,2025-05-23,0
2,52,G2-02,7,2025-05-23,0
2,53,G2-02,5,2025-05-15,8
2,54,G2-02,5,2025-05-17,6
2,55,G2-02,5,2025-05-23,0
2,56,G2-02,5,2025-05-20,3
2,57,G2-02,6,2025-05-19,4
2,58,G2-02,6,2025-05-21,2
2,59,G2-03,5,2025-05-21,2
2,60,G2-03,7,2025-05-17,6
2,62,G2-03,7,2025-05-21,2
2,63,G2-03,5,2025-05-17,6
2,64,G2-03,5,2025-05-21,2
2,65,G2-03,5,2025-05-19,4
2,66,G2-03,7,2025-05-19,4
2,67,G2-03,5,2025-05-17,6
2,68,G2-03,10,2025-05-20,3
2,69,G2-04,6,2025-05-16,7
2,70,G2-04,5,2025-05-20,3
2,71,G2-04,5,2025-05-20,3
2,72,G2-04,5,2025-05-20,3
2,73,G2-04,5,2025-05-23,0
2,74,G2-04,5,2025-05-18,5
2,382,G2-04,5,2025-05-20,3
3,75,G3-01,5,2025-05-22,1
3,76,G3-01,5,2025-05-21,2
3,77,G3-01,5,2025-05-18,5
3,78,G3-01,5,2025-05-20,3
3,79,G3-01,6,2025-05-17,6
3,80,G3-01,7,2025-05-07,16
3,81,G3-01,7,2025-05-22,1
3,82,G3-01,10,2025-05-02,21
3,83,G3-01,5,2025-05-21,2
3,84,G3-01,5,2025-05-20,3
3,85,G3-01,5,2025-05-19,4
3,86,G3-01,6,2025-05-23,0
3,87,G3-01,6,2025-05-07,16
3,88,G3-02,5,2025-05-20,3
3,89,G3-02,5,2025-05-20,3
3,90,G3-02,7,2025-05-19,4
3,91,G3-02,7,2025-05-18,5
3,92,G3-02,5,2025-05-21,2
3,93,G3-02,5,2025-05-11,12
3,94,G3-02,6,2025-05-17,6
3,95,G3-02,5,2025-05-23,0
3,96,G3-02,5,2025-05-20,3
3,97,G3-02,6,2025-05-23,0
3,98,G3-02,6,2025-05-23,0
3,99,G3-02,7,2025-05-23,0
3,100,G3-02,5,2025-05-23,0
3,101,G3-03,5,2025-05-21,2
3,102,G3-03,5,2025-05-22,1
3,103,G3-03,5,2025-05-19,4
3,104,G3-03,5,2025-05-22,1
3,105,G3-03,5,2025-05-22,1
3,106,G3-03,5,2025-05-22,1
3,107,G3-03,5,2025-05-19,4
3,108,G3-03,5,2025-05-13,10
3,109,G3-03,5,2025-05-05,18
3,110,G3-03,5,2025-05-18,5
3,111,G3-03,5,2025-05-20,3
3,112,G3-03,5,2025-05-21,2
3,113,G3-03,5,2025-05-23,0
3,114,G3-04,5,2025-05-22,1
3,115,G3-04,5,2025-05-07,16
3,116,G3-04,7,2025-05-03,20
3,117,G3-04,5,2025-05-14,9
3,118,G3-04,7,2025-05-21,2
3,119,G3-04,12,2025-05-20,3
3,120,G3-04,12,2025-05-23,0
3,121,G3-04,10,2025-05-17,6
3,369,G3-04,7,2025-05-21,2
3,370,G3-04,8,2025-05-16,7
4,122,G4-01,8,2025-05-20,3
4,123,G4-01,10,2025-05-19,4
4,124,G4-01,10,2025-05-21,2
4,125,G4-01,10,2025-05-23,0
4,126,G4-01,10,2025-05-20,3
4,127,G4-01,10,2025-05-16,7
4,128,G4-01,5,2025-05-22,1
4,129,G4-01,5,2025-05-22,1
4,130,G4-01,7,2025-05-19,4
4,131,G4-01,5,2025-05-18,5
4,132,G4-01,5,2025-05-05,18
4,133,G4-02,5,2025-05-19,4
4,134,G4-02,5,2025-05-22,1
4,135,G4-02,5,2025-05-21,2
4,136,G4-02,5,2025-05-21,2
4,137,G4-02,5,2025-05-22,1
4,138,G4-02,5,2025-05-21,2
4,139,G4-02,5,2025-05-22,1
4,140,G4-02,5,2025-05-20,3
4,141,G4-02,5,2025-05-23,0
4,142,G4-02,5,2025-05-21,2
4,143,G4-02,6,2025-05-18,5
4,144,G4-03,7,2025-05-19,4
4,145,G4-03,7,2025-05-16,7
4,146,G4-03,7,2025-05-20,3
4,147,G4-03,7,2025-05-22,1
4,148,G4-03,5,2025-05-17,6
4,149,G4-03,5,2025-05-19,4
4,150,G4-03,5,2025-05-23,0
4,151,G4-03,5,2025-05-21,2
4,152,G4-03,6,2025-05-19,4
4,153,G4-03,7,2025-05-23,0
