# SYNTHETIC. Upkeep rotation state as at 2025-05-23, READ BACK from the work order ledger (ec_upkeep_orders.csv) so state and events agree. This is 'days overdue against the standard rotation', NOT block condition - EPMS records that an activity happened, never what the block looks like.
division_code,block_code,activity,last_done,interval_days,days_since,days_overdue
1,1,pruning,2025-03-14,240,70,0
1,1,circle_weeding,2025-04-19,75,34,0
1,1,path_upkeep,2025-03-05,110,79,0
1,1,spraying,2025-01-27,100,116,16
1,2,pruning,2025-03-29,240,55,0
1,2,circle_weeding,2025-05-20,75,3,0
1,2,path_upkeep,2025-04-21,110,32,0
1,2,spraying,2025-04-18,100,35,0
1,3,pruning,2024-11-19,240,185,0
1,3,circle_weeding,2025-03-21,75,63,0
1,3,path_upkeep,2025-03-19,110,65,0
1,3,spraying,2025-01-17,100,126,26
1,4,pruning,2024-11-26,240,178,0
1,4,circle_weeding,2025-03-18,75,66,0
1,4,path_upkeep,2025-05-03,110,20,0
1,4,spraying,2025-01-22,100,121,21
1,5,pruning,2024-11-15,240,189,0
1,5,circle_weeding,2025-04-30,75,23,0
1,5,path_upkeep,2025-02-28,110,84,0
1,5,spraying,2025-03-20,100,64,0
1,6,pruning,2025-03-13,240,71,0
1,6,circle_weeding,2025-03-15,75,69,0
1,6,path_upkeep,2025-02-17,110,95,0
1,6,spraying,2025-04-15,100,38,0
1,7,pruning,2024-10-15,240,220,0
1,7,circle_weeding,2025-04-18,75,35,0
1,7,path_upkeep,2025-05-14,110,9,0
1,7,spraying,2025-05-08,100,15,0
1,8,pruning,2025-02-13,240,99,0
1,8,circle_weeding,2025-05-07,75,16,0
1,8,path_upkeep,2025-04-16,110,37,0
1,8,spraying,2025-01-06,100,137,37
1,9,pruning,2025-02-27,240,85,0
1,9,circle_weeding,2025-05-09,75,14,0
1,9,path_upkeep,2025-05-13,110,10,0
1,9,spraying,2025-01-21,100,122,22
1,10,pruning,2024-12-20,240,154,0
1,10,circle_weeding,2025-04-24,75,29,0
1,10,path_upkeep,2025-05-02,110,21,0
1,10,spraying,2025-02-03,100,109,9
1,11,pruning,2024-11-16,240,188,0
1,11,circle_weeding,2025-05-16,75,7,0
1,11,path_upkeep,2025-02-19,110,93,0
1,11,spraying,2025-04-26,100,27,0
1,12,pruning,2025-01-31,240,112,0
1,12,circle_weeding,2025-04-28,75,25,0
1,12,path_upkeep,2025-04-12,110,41,0
1,12,spraying,2025-03-27,100,57,0
1,13,pruning,2025-04-10,240,43,0
1,13,circle_weeding,2025-05-19,75,4,0
1,13,path_upkeep,2025-05-12,110,11,0
1,13,spraying,2025-04-10,100,43,0
1,14,pruning,2025-01-17,240,126,0
1,14,circle_weeding,2025-02-26,75,86,11
1,14,path_upkeep,2025-05-21,110,2,0
1,14,spraying,2025-03-29,100,55,0
1,15,pruning,2024-12-17,240,157,0
1,15,circle_weeding,2025-05-14,75,9,0
1,15,path_upkeep,2025-01-23,110,120,10
1,15,spraying,2025-01-31,100,112,12
1,16,pruning,2025-04-14,240,39,0
1,16,circle_weeding,2025-04-24,75,29,0
1,16,path_upkeep,2025-05-23,110,0,0
1,16,spraying,2025-01-20,100,123,23
1,17,pruning,2025-01-06,240,137,0
1,17,circle_weeding,2025-03-24,75,60,0
1,17,path_upkeep,2025-05-02,110,21,0
1,17,spraying,2025-02-10,100,102,2
1,18,pruning,2025-04-02,240,51,0
1,18,circle_weeding,2025-03-12,75,72,0
1,18,path_upkeep,2025-01-11,110,132,22
1,18,spraying,2025-02-14,100,98,0
1,19,pruning,2025-04-30,240,23,0
1,19,circle_weeding,2025-05-05,75,18,0
1,19,path_upkeep,2025-04-19,110,34,0
1,19,spraying,2025-01-10,100,133,33
1,20,pruning,2025-03-06,240,78,0
1,20,circle_weeding,2025-03-20,75,64,0
1,20,path_upkeep,2025-01-25,110,118,8
1,20,spraying,2025-03-07,100,77,0
1,21,pruning,2025-02-13,240,99,0
1,21,circle_weeding,2025-02-21,75,91,16
1,21,path_upkeep,2025-05-07,110,16,0
1,21,spraying,2025-01-29,100,114,14
1,22,pruning,2025-02-19,240,93,0
1,22,circle_weeding,2025-03-17,75,67,0
1,22,path_upkeep,2025-05-09,110,14,0
1,22,spraying,2025-02-26,100,86,0
1,23,pruning,2024-10-11,240,224,0
1,23,circle_weeding,2025-05-12,75,11,0
1,23,path_upkeep,2025-01-18,110,125,15
1,23,spraying,2025-02-08,100,104,4
1,24,pruning,2025-05-19,240,4,0
1,24,circle_weeding,2025-02-28,75,84,9
1,24,path_upkeep,2025-01-21,110,122,12
1,24,spraying,2025-05-15,100,8,0
1,25,pruning,2024-10-26,240,209,0
1,25,circle_weeding,2025-03-10,75,74,0
1,25,path_upkeep,2025-04-17,110,36,0
1,25,spraying,2025-05-20,100,3,0
1,26,pruning,2024-10-13,240,222,0
1,26,circle_weeding,2025-02-24,75,88,13
1,26,path_upkeep,2025-01-28,110,115,5
1,26,spraying,2025-05-23,100,0,0
1,27,pruning,2025-01-18,240,125,0
1,27,circle_weeding,2025-02-19,75,93,18
1,27,path_upkeep,2025-05-22,110,1,0
1,27,spraying,2025-04-28,100,25,0
1,28,pruning,2025-04-01,240,52,0
1,28,circle_weeding,2025-03-20,75,64,0
1,28,path_upkeep,2025-03-04,110,80,0
1,28,spraying,2025-05-02,100,21,0
1,29,pruning,2024-12-12,240,162,0
1,29,circle_weeding,2025-04-29,75,24,0
1,29,path_upkeep,2025-04-23,110,30,0
1,29,spraying,2025-05-12,100,11,0
1,30,pruning,2024-10-21,240,214,0
1,30,circle_weeding,2025-03-01,75,83,8
1,30,path_upkeep,2025-03-07,110,77,0
1,30,spraying,2025-05-14,100,9,0
1,31,pruning,2024-12-12,240,162,0
1,31,circle_weeding,2025-02-22,75,90,15
1,31,path_upkeep,2025-01-24,110,119,9
1,31,spraying,2025-05-17,100,6,0
1,32,pruning,2024-11-05,240,199,0
1,32,circle_weeding,2025-05-07,75,16,0
1,32,path_upkeep,2025-04-26,110,27,0
1,32,spraying,2025-01-13,100,130,30
1,33,pruning,2025-04-19,240,34,0
1,33,circle_weeding,2025-05-03,75,20,0
1,33,path_upkeep,2025-04-09,110,44,0
1,33,spraying,2025-01-25,100,118,18
1,34,pruning,2024-11-15,240,189,0
1,34,circle_weeding,2025-02-17,75,95,20
1,34,path_upkeep,2025-02-01,110,111,1
1,34,spraying,2025-02-05,100,107,7
1,35,pruning,2024-11-24,240,180,0
1,35,circle_weeding,2025-02-26,75,86,11
1,35,path_upkeep,2025-05-13,110,10,0
1,35,spraying,2025-01-09,100,134,34
1,36,pruning,2024-11-27,240,177,0
1,36,circle_weeding,2025-05-16,75,7,0
1,36,path_upkeep,2025-04-05,110,48,0
1,36,spraying,2025-01-16,100,127,27
1,37,pruning,2024-10-31,240,204,0
1,37,circle_weeding,2025-03-12,75,72,0
1,37,path_upkeep,2025-01-27,110,116,6
1,37,spraying,2025-03-05,100,79,0
1,38,pruning,2024-10-31,240,204,0
1,38,circle_weeding,2025-05-20,75,3,0
1,38,path_upkeep,2025-05-09,110,14,0
1,38,spraying,2025-03-03,100,81,0
1,39,pruning,2024-11-29,240,175,0
1,39,circle_weeding,2025-03-15,75,69,0
1,39,path_upkeep,2025-02-07,110,105,0
1,39,spraying,2025-02-13,100,99,0
2,40,pruning,2024-12-11,240,163,0
2,40,circle_weeding,2025-04-15,75,38,0
2,40,path_upkeep,2025-04-23,110,30,0
2,40,spraying,2025-04-05,100,48,0
2,41,pruning,2025-03-18,240,66,0
2,41,circle_weeding,2025-04-17,75,36,0
2,41,path_upkeep,2025-04-25,110,28,0
2,41,spraying,2025-03-04,100,80,0
2,42,pruning,2024-12-21,240,153,0
2,42,circle_weeding,2025-05-12,75,11,0
2,42,path_upkeep,2025-04-28,110,25,0
2,42,spraying,2025-04-15,100,38,0
2,43,pruning,2025-02-17,240,95,0
2,43,circle_weeding,2025-05-01,75,22,0
2,43,path_upkeep,2025-05-08,110,15,0
2,43,spraying,2025-01-30,100,113,13
2,44,pruning,2025-02-05,240,107,0
2,44,circle_weeding,2025-05-14,75,9,0
2,44,path_upkeep,2025-05-07,110,16,0
2,44,spraying,2025-01-17,100,126,26
2,45,pruning,2024-11-15,240,189,0
2,45,circle_weeding,2025-03-21,75,63,0
2,45,path_upkeep,2025-05-03,110,20,0
2,45,spraying,2025-01-16,100,127,27
2,46,pruning,2024-10-11,240,224,0
2,46,circle_weeding,2025-05-21,75,2,0
