# SYNTHETIC. Upkeep work orders: pruning, circle weeding, path upkeep and spraying, SIMULATED crew by crew and day by day. Each crew takes its most overdue job each morning, plans the day off expected headcount, and does what attendance, real daily rainfall and road condition allowed; the remainder carries to tomorrow. Stands in for EPMS t_workplan / t_work_assignment.
order_id,date,operation,activity,division_code,block_code,crew_code,headcount_plan,headcount_actual,planned_qty,actual_qty,unit,man_days_plan,man_days_actual,status,started,finished,carried_to
WO-2025-0101-U-001,2025-01-01,weed,path_upkeep,1,38,U1-03,16,18,22.87,19.05,ha,16.0,18.0,partial,07:06,13:04,WO-2025-0102-U-002
WO-2025-0101-U-002,2025-01-01,spray,spraying,1,25,S1-01,12,14,29.39,29.39,ha,12.0,14.0,completed,07:01,13:52,
WO-2025-0101-U-003,2025-01-01,weed,path_upkeep,2,42,U2-01,15,16,24.25,20.92,ha,15.0,16.0,partial,06:48,13:07,WO-2025-0102-U-004
WO-2025-0101-U-004,2025-01-01,weed,circle_weeding,2,59,U2-02,15,16,18.0,22.08,ha,15.0,16.0,partial,07:07,14:07,WO-2025-0102-U-005
WO-2025-0101-U-005,2025-01-01,weed,circle_weeding,2,72,U2-03,15,16,16.91,12.38,ha,15.0,16.0,partial,06:54,12:29,WO-2025-0102-U-006
WO-2025-0101-U-006,2025-01-01,spray,spraying,2,55,S2-01,12,13,29.89,26.46,ha,12.0,13.0,partial,07:09,13:36,WO-2025-0102-U-007
WO-2025-0101-U-007,2025-01-01,weed,path_upkeep,3,86,U3-01,14,16,20.58,19.77,ha,14.0,16.0,partial,07:11,14:17,WO-2025-0102-U-008
WO-2025-0101-U-008,2025-01-01,weed,circle_weeding,3,121,U3-04,5,14,4.68,4.68,ha,5.0,14.0,completed,07:02,14:01,
WO-2025-0101-U-009,2025-01-01,spray,spraying,3,115,S3-01,9,14,21.14,21.14,ha,9.0,14.0,completed,06:57,13:46,
WO-2025-0101-U-010,2025-01-01,weed,path_upkeep,4,129,U4-01,14,15,16.8,10.71,ha,14.0,15.0,partial,06:52,11:09,WO-2025-0102-U-011
WO-2025-0101-U-011,2025-01-01,weed,circle_weeding,4,142,U4-02,14,13,16.88,11.31,ha,14.0,13.0,partial,07:02,11:29,WO-2025-0102-U-012
WO-2025-0101-U-012,2025-01-01,weed,circle_weeding,4,144,U4-03,14,15,15.03,12.82,ha,14.0,15.0,partial,07:14,13:32,WO-2025-0102-U-013
WO-2025-0101-U-013,2025-01-01,weed,circle_weeding,4,156,U4-04,14,14,14.48,14.6,ha,14.0,14.0,partial,06:51,14:07,WO-2025-0102-U-014
WO-2025-0101-U-014,2025-01-01,spray,spraying,4,135,S4-01,11,15,27.26,24.57,ha,11.0,15.0,partial,06:55,13:28,WO-2025-0102-U-015
WO-2025-0101-U-015,2025-01-01,weed,path_upkeep,5,179,U5-01,15,16,24.41,23.23,ha,15.0,16.0,partial,06:56,13:52,WO-2025-0102-U-016
WO-2025-0101-U-016,2025-01-01,weed,path_upkeep,5,188,U5-02,15,15,25.47,17.74,ha,15.0,15.0,partial,07:08,12:24,WO-2025-0102-U-017
WO-2025-0101-U-017,2025-01-01,prune,pruning,5,198,U5-03,15,15,990,509,palms,15.0,15.0,partial,06:58,10:29,WO-2025-0102-U-018
WO-2025-0101-U-018,2025-01-01,spray,spraying,5,193,S5-01,12,11,27.74,11.16,ha,12.0,11.0,partial,07:13,09:45,WO-2025-0102-U-019
WO-2025-0101-U-019,2025-01-01,weed,path_upkeep,6,246,U6-02,13,14,20.26,16.21,ha,13.0,14.0,partial,06:54,12:59,WO-2025-0102-U-020
WO-2025-0101-U-020,2025-01-01,weed,circle_weeding,6,258,U6-03,10,16,11.0,11.0,ha,10.0,16.0,completed,06:47,13:44,
WO-2025-0101-U-021,2025-01-01,prune,pruning,6,270,U6-04,14,16,818,678,palms,14.0,16.0,partial,06:54,12:25,WO-2025-0102-U-022
WO-2025-0101-U-022,2025-01-01,spray,spraying,6,210,S6-01,12,15,31.79,26.08,ha,12.0,15.0,partial,07:06,13:06,WO-2025-0102-U-023
WO-2025-0101-U-023,2025-01-01,weed,circle_weeding,7,293,U7-01,12,12,11.93,7.82,ha,12.0,12.0,partial,07:09,11:29,WO-2025-0102-U-024
WO-2025-0101-U-024,2025-01-01,weed,circle_weeding,7,304,U7-02,12,12,12.87,10.37,ha,12.0,12.0,partial,07:05,12:59,WO-2025-0102-U-025
WO-2025-0101-U-025,2025-01-01,weed,path_upkeep,7,329,U7-03,12,13,17.84,17.43,ha,12.0,13.0,partial,07:09,13:56,WO-2025-0102-U-026
WO-2025-0101-U-026,2025-01-01,spray,spraying,7,305,S7-01,11,13,25.7,24.3,ha,11.0,13.0,partial,06:58,13:38,WO-2025-0102-U-027
WO-2025-0102-U-001,2025-01-02,prune,pruning,1,17,U1-02,16,15,988,1018,palms,16.0,15.0,partial,06:49,13:34,WO-2025-0103-U-001
WO-2025-0102-U-002,2025-01-02,weed,path_upkeep,1,38,U1-03,7,17,9.61,9.61,ha,7.0,17.0,completed,06:48,14:11,
WO-2025-0102-U-003,2025-01-02,spray,spraying,1,26,S1-01,12,14,27.78,27.78,ha,12.0,14.0,completed,06:00,14:25,
WO-2025-0102-U-004,2025-01-02,weed,path_upkeep,2,42,U2-01,6,15,8.1,8.1,ha,6.0,15.0,completed,07:14,14:14,
WO-2025-0102-U-005,2025-01-02,weed,circle_weeding,2,59,U2-02,9,14,9.68,9.68,ha,9.0,14.0,completed,06:46,13:33,
WO-2025-0102-U-006,2025-01-02,weed,circle_weeding,2,72,U2-03,14,15,15.57,10.5,ha,14.0,15.0,partial,07:01,12:00,WO-2025-0103-U-005
WO-2025-0102-U-007,2025-01-02,spray,spraying,2,55,S2-01,2,13,3.43,3.43,ha,2.0,13.0,completed,06:49,13:34,
WO-2025-0102-U-008,2025-01-02,weed,path_upkeep,3,86,U3-01,12,12,16.91,14.36,ha,12.0,12.0,partial,06:54,12:34,WO-2025-0103-U-007
WO-2025-0102-U-009,2025-01-02,prune,pruning,3,370,U3-04,6,13,292,292,palms,6.0,13.0,completed,06:57,14:08,
WO-2025-0102-U-010,2025-01-02,spray,spraying,3,98,S3-01,12,14,29.67,21.89,ha,12.0,14.0,partial,06:53,12:29,WO-2025-0103-U-008
WO-2025-0102-U-011,2025-01-02,weed,path_upkeep,4,129,U4-01,11,15,12.11,12.11,ha,11.0,15.0,completed,07:08,14:07,
WO-2025-0102-U-012,2025-01-02,weed,circle_weeding,4,142,U4-02,13,14,14.79,14.79,ha,13.0,14.0,completed,07:02,14:19,
WO-2025-0102-U-013,2025-01-02,weed,circle_weeding,4,144,U4-03,12,15,12.74,10.64,ha,12.0,15.0,partial,07:04,13:03,WO-2025-0103-U-010
WO-2025-0102-U-014,2025-01-02,weed,circle_weeding,4,156,U4-04,8,15,7.31,7.31,ha,8.0,15.0,completed,06:45,13:33,
WO-2025-0102-U-015,2025-01-02,spray,spraying,4,135,S4-01,2,15,2.69,2.69,ha,2.0,15.0,completed,06:57,14:14,
WO-2025-0102-U-016,2025-01-02,weed,path_upkeep,5,179,U5-01,2,15,2.28,2.28,ha,2.0,15.0,completed,06:53,13:49,
WO-2025-0102-U-017,2025-01-02,weed,path_upkeep,5,188,U5-02,8,16,13.22,13.22,ha,8.0,16.0,completed,06:57,13:54,
WO-2025-0102-U-018,2025-01-02,prune,pruning,5,198,U5-03,14,15,898,783,palms,14.0,15.0,partial,07:10,13:13,WO-2025-0103-U-014
WO-2025-0102-U-019,2025-01-02,spray,spraying,5,193,S5-01,8,13,18.02,12.05,ha,8.0,13.0,partial,07:05,11:31,WO-2025-0103-U-015
WO-2025-0102-U-020,2025-01-02,weed,path_upkeep,6,246,U6-02,3,17,4.05,4.05,ha,3.0,17.0,completed,06:56,14:10,
WO-2025-0102-U-021,2025-01-02,weed,path_upkeep,6,256,U6-03,14,16,23.2,27.46,ha,14.0,16.0,partial,06:46,13:54,WO-2025-0103-U-018
