# SYNTHETIC. NDRE per block per month. Sentinel-2 L2A is free over Merauke and this layer could be computed for real; it is generated here so the layer works offline. Correlated with real yield.
division_code,block_code,month,ndre,ndre_baseline,cloud_pct
1,1,2025-01,0.3208,0.3251,3
1,1,2025-02,0.3185,0.3251,43
1,1,2025-03,0.322,0.3251,35
1,1,2025-04,0.3329,0.3251,33
1,1,2025-05,0.3271,0.3251,32
1,1,2025-06,0.3297,0.3251,61
1,1,2025-07,0.3384,0.3251,16
1,1,2025-08,0.3347,0.3251,66
1,1,2025-09,0.3352,0.3251,55
1,1,2025-10,0.3234,0.3251,52
1,1,2025-11,0.3271,0.3251,49
1,2,2025-01,0.3203,0.3302,28
1,2,2025-02,0.3229,0.3302,7
1,2,2025-03,0.3232,0.3302,12
1,2,2025-04,0.3381,0.3302,68
1,2,2025-05,0.3385,0.3302,14
1,2,2025-06,0.3354,0.3302,51
1,2,2025-07,0.3349,0.3302,18
1,2,2025-08,0.3381,0.3302,14
1,2,2025-09,0.3315,0.3302,22
1,2,2025-10,0.3249,0.3302,12
1,2,2025-11,0.3247,0.3302,42
1,3,2025-01,0.3272,0.3446,66
1,3,2025-02,0.3302,0.3446,60
1,3,2025-03,0.3396,0.3446,13
1,3,2025-04,0.3458,0.3446,71
1,3,2025-05,0.3486,0.3446,31
1,3,2025-06,0.3488,0.3446,49
1,3,2025-07,0.3502,0.3446,59
1,3,2025-08,0.3481,0.3446,8
1,3,2025-09,0.3566,0.3446,41
1,3,2025-10,0.3391,0.3446,49
1,3,2025-11,0.3319,0.3446,58
1,4,2025-01,0.3214,0.3388,26
1,4,2025-02,0.3278,0.3388,37
1,4,2025-03,0.3337,0.3388,15
1,4,2025-04,0.342,0.3388,27
1,4,2025-05,0.3511,0.3388,64
1,4,2025-06,0.3445,0.3388,41
1,4,2025-07,0.3441,0.3388,48
1,4,2025-08,0.3473,0.3388,44
1,4,2025-09,0.3503,0.3388,70
1,4,2025-10,0.3372,0.3388,47
1,4,2025-11,0.3347,0.3388,3
1,5,2025-01,0.3191,0.3353,42
1,5,2025-02,0.3223,0.3353,48
1,5,2025-03,0.3272,0.3353,55
1,5,2025-04,0.3288,0.3353,38
1,5,2025-05,0.3361,0.3353,34
1,5,2025-06,0.345,0.3353,10
1,5,2025-07,0.3475,0.3353,36
1,5,2025-08,0.3401,0.3353,71
1,5,2025-09,0.3382,0.3353,48
1,5,2025-10,0.3398,0.3353,50
1,5,2025-11,0.3372,0.3353,62
1,6,2025-01,0.3227,0.3342,9
1,6,2025-02,0.3166,0.3342,16
1,6,2025-03,0.3303,0.3342,70
1,6,2025-04,0.3354,0.3342,7
1,6,2025-05,0.3397,0.3342,23
1,6,2025-06,0.3502,0.3342,40
1,6,2025-07,0.3387,0.3342,47
1,6,2025-08,0.3479,0.3342,35
1,6,2025-09,0.3334,0.3342,8
1,6,2025-10,0.3345,0.3342,49
1,6,2025-11,0.3337,0.3342,66
1,7,2025-01,0.3379,0.3492,66
1,7,2025-02,0.3394,0.3492,47
1,7,2025-03,0.3488,0.3492,60
1,7,2025-04,0.3454,0.3492,40
1,7,2025-05,0.3497,0.3492,8
1,7,2025-06,0.3612,0.3492,66
1,7,2025-07,0.3689,0.3492,26
1,7,2025-08,0.3607,0.3492,36
1,7,2025-09,0.35,0.3492,24
1,7,2025-10,0.3449,0.3492,61
1,7,2025-11,0.3416,0.3492,22
1,8,2025-01,0.3441,0.3497,44
1,8,2025-02,0.3464,0.3497,17
1,8,2025-03,0.3489,0.3497,30
1,8,2025-04,0.3457,0.3497,23
1,8,2025-05,0.3506,0.3497,34
1,8,2025-06,0.3618,0.3497,52
1,8,2025-07,0.367,0.3497,49
1,8,2025-08,0.3583,0.3497,14
1,8,2025-09,0.3529,0.3497,32
1,8,2025-10,0.3524,0.3497,6
1,8,2025-11,0.3462,0.3497,68
1,9,2025-01,0.3326,0.3514,39
1,9,2025-02,0.335,0.3514,66
1,9,2025-03,0.3515,0.3514,34
1,9,2025-04,0.3435,0.3514,38
1,9,2025-05,0.3566,0.3514,48
1,9,2025-06,0.3566,0.3514,49
1,9,2025-07,0.3645,0.3514,52
1,9,2025-08,0.3671,0.3514,4
1,9,2025-09,0.3548,0.3514,15
1,9,2025-10,0.3568,0.3514,45
1,9,2025-11,0.3456,0.3514,24
1,10,2025-01,0.3351,0.3478,6
1,10,2025-02,0.3348,0.3478,57
1,10,2025-03,0.346,0.3478,19
1,10,2025-04,0.3472,0.3478,52
1,10,2025-05,0.3565,0.3478,63
1,10,2025-06,0.357,0.3478,8
1,10,2025-07,0.3594,0.3478,38
1,10,2025-08,0.3612,0.3478,49
1,10,2025-09,0.3589,0.3478,67
1,10,2025-10,0.3556,0.3478,28
1,10,2025-11,0.3427,0.3478,72
1,11,2025-01,0.3376,0.3519,52
1,11,2025-02,0.3416,0.3519,63
1,11,2025-03,0.3493,0.3519,21
1,11,2025-04,0.3451,0.3519,65
1,11,2025-05,0.3586,0.3519,58
1,11,2025-06,0.359,0.3519,19
1,11,2025-07,0.3685,0.3519,51
1,11,2025-08,0.3559,0.3519,64
1,11,2025-09,0.3504,0.3519,39
1,11,2025-10,0.3507,0.3519,37
1,11,2025-11,0.3496,0.3519,64
1,12,2025-01,0.3479,0.3631,14
1,12,2025-02,0.3458,0.3631,51
1,12,2025-03,0.3649,0.3631,69
1,12,2025-04,0.3633,0.3631,1
1,12,2025-05,0.3671,0.3631,3
1,12,2025-06,0.3669,0.3631,36
1,12,2025-07,0.3788,0.3631,30
1,12,2025-08,0.3775,0.3631,45
1,12,2025-09,0.3765,0.3631,2
1,12,2025-10,0.3593,0.3631,9
1,12,2025-11,0.3581,0.3631,61
1,13,2025-01,0.3379,0.3454,24
1,13,2025-02,0.3409,0.3454,22
1,13,2025-03,0.3321,0.3454,30
1,13,2025-04,0.3529,0.3454,14
1,13,2025-05,0.3532,0.3454,0
1,13,2025-06,0.3614,0.3454,34
1,13,2025-07,0.3552,0.3454,32
1,13,2025-08,0.3535,0.3454,34
1,13,2025-09,0.3558,0.3454,22
1,13,2025-10,0.3425,0.3454,6
1,13,2025-11,0.3418,0.3454,23
1,14,2025-01,0.348,0.359,62
1,14,2025-02,0.3513,0.359,55
1,14,2025-03,0.3528,0.359,38
1,14,2025-04,0.3537,0.359,62
1,14,2025-05,0.3594,0.359,29
1,14,2025-06,0.3642,0.359,53
1,14,2025-07,0.3673,0.359,34
1,14,2025-08,0.377,0.359,58
1,14,2025-09,0.3597,0.359,34
1,14,2025-10,0.3607,0.359,51
1,14,2025-11,0.3493,0.359,20
1,15,2025-01,0.3369,0.3535,38
1,15,2025-02,0.3446,0.3535,47
1,15,2025-03,0.3446,0.3535,58
1,15,2025-04,0.3507,0.3535,67
1,15,2025-05,0.3605,0.3535,68
1,15,2025-06,0.3616,0.3535,45
1,15,2025-07,0.3624,0.3535,70
1,15,2025-08,0.3688,0.3535,35
1,15,2025-09,0.3541,0.3535,58
1,15,2025-10,0.3578,0.3535,32
1,15,2025-11,0.3529,0.3535,5
1,16,2025-01,0.3216,0.3337,69
1,16,2025-02,0.3203,0.3337,7
