# SYNTHETIC. Fleet master. SAP Plant Maintenance holds this; the EC export carries no vehicle of any kind.
vehicle_id,vehicle_class,capacity_t,litres_per_100km,year_acquired,odometer_km,failures_per_1000_trips
TR-01,tractor-trailer,4.5,30.9,2017,48000,14.4
TR-02,tractor-trailer,4.5,31.7,2018,315000,11.4
TR-03,tractor-trailer,4.5,35.8,2020,208000,13.0
TR-04,tractor-trailer,4.5,29.7,2013,314000,11.6
TR-05,tractor-trailer,4.5,33.8,2022,68000,9.7
TR-06,tractor-trailer,4.5,32.0,2015,182000,10.7
TR-07,tractor-trailer,4.5,30.4,2014,45000,10.6
TR-08,tractor-trailer,4.5,34.9,2013,67000,14.8
DU-01,dump-truck,7.0,40.1,2013,121000,6.9
DU-02,dump-truck,7.0,42.4,2016,71000,7.3
DU-03,dump-truck,7.0,40.1,2022,97000,5.9
DU-04,dump-truck,7.0,43.3,2017,172000,5.6
DU-05,dump-truck,7.0,44.4,2014,41000,5.6
MI-01,mini-truck,2.5,22.5,2020,175000,5.2
MI-02,mini-truck,2.5,21.9,2021,255000,7.0
MI-03,mini-truck,2.5,23.0,2017,68000,5.1
MI-04,mini-truck,2.5,24.4,2015,232000,6.0
