# SYNTHETIC. Trip-level ledger joining the EPMS field count to the mill weighbridge ticket. Bunch counts per block-month and the number of harvest days are the client's REAL figures; the split into trips, the weights, vehicles, drivers and times are generated. is_planted_anomaly marks the injected cohort and exists only to score the detector - a real extract has no such column.
trip_id,date,month,division_code,block_code,route_code,vehicle_id,vehicle_class,driver_id,km_to_mill,bunches_epms,loose_fruit_kg,gross_kg,tare_kg,net_kg,depart_time,turnaround_h,queue_h,mill_dockage_pct,ffa_pct,diesel_l,is_planted_anomaly
T000001,2025-01-03,2025-01,1,1,R-01,DU-02,dump-truck,D-12,6.26,181,20.1,5422,3935,1487,07:08,1.52,0.81,1.92,1.98,5.08,0
T000002,2025-01-07,2025-01,1,1,R-01,DU-04,dump-truck,D-14,6.26,181,8.0,6407,4921,1486,07:23,2.07,1.09,1.15,2.14,5.62,0
T000003,2025-01-14,2025-01,1,1,R-01,MI-01,mini-truck,D-17,6.26,181,8.8,2890,1407,1483,10:27,2.14,1.31,1.04,2.18,2.7,0
T000004,2025-01-17,2025-01,1,1,R-01,DU-03,dump-truck,D-07,6.26,181,16.2,6453,4966,1487,07:37,1.63,0.57,0.11,2.08,4.83,0
T000005,2025-01-23,2025-01,1,1,R-01,TR-05,tractor-trailer,D-09,6.26,181,28.6,4612,3132,1480,08:41,1.49,0.45,1.59,2.13,4.62,0
T000006,2025-01-30,2025-01,1,1,R-01,DU-01,dump-truck,D-09,6.26,182,17.0,5463,3978,1485,13:37,2.39,1.29,1.43,2.0,5.55,0
T000007,2025-02-03,2025-02,1,1,R-01,DU-02,dump-truck,D-10,6.26,205,20.7,6288,4589,1699,14:51,1.49,0.45,1.73,1.96,5.52,0
T000008,2025-02-08,2025-02,1,1,R-01,MI-04,mini-truck,D-20,6.26,205,21.0,3384,1702,1682,08:49,2.25,1.33,0.43,2.15,2.78,0
T000009,2025-02-15,2025-02,1,1,R-01,TR-03,tractor-trailer,D-05,6.26,205,13.9,4528,2827,1701,14:50,2.59,1.82,1.92,2.06,4.87,0
T000010,2025-02-20,2025-02,1,1,R-01,TR-01,tractor-trailer,D-16,6.26,205,36.0,4825,3156,1669,10:08,1.8,0.8,0.0,1.93,3.69,0
T000011,2025-02-27,2025-02,1,1,R-01,TR-06,tractor-trailer,D-06,6.26,206,13.8,4378,2701,1677,07:26,0.88,0.0,1.89,1.88,3.66,0
T000012,2025-03-03,2025-03,1,1,R-01,MI-01,mini-truck,D-03,6.26,196,9.9,3348,1745,1603,07:13,1.56,0.87,1.22,2.08,2.98,0
T000013,2025-03-11,2025-03,1,1,R-01,MI-03,mini-truck,D-14,6.26,196,29.8,3065,1444,1620,12:25,2.39,1.7,1.46,2.03,2.76,0
T000014,2025-03-17,2025-03,1,1,R-01,DU-03,dump-truck,D-17,6.26,196,20.0,6619,4983,1636,13:06,1.04,0.39,1.22,1.93,5.08,0
T000015,2025-03-23,2025-03,1,1,R-01,TR-02,tractor-trailer,D-12,6.26,196,7.6,4500,2888,1612,12:46,2.0,1.13,1.26,2.13,3.87,0
T000016,2025-03-27,2025-03,1,1,R-01,TR-01,tractor-trailer,D-06,6.26,196,7.6,4117,2489,1629,09:36,2.51,1.31,1.08,2.2,4.08,0
T000017,2025-04-04,2025-04,1,1,R-01,TR-08,tractor-trailer,D-03,6.26,259,44.7,4779,2632,2147,07:30,1.38,0.6,0.89,2.02,4.82,0
T000018,2025-04-13,2025-04,1,1,R-01,MI-03,mini-truck,D-02,6.26,259,15.1,3749,1645,2104,13:37,1.41,0.18,1.37,2.03,2.82,0
T000019,2025-04-19,2025-04,1,1,R-01,DU-04,dump-truck,D-11,6.26,259,36.2,6625,4454,2170,10:34,1.8,1.07,1.6,1.87,4.97,0
T000020,2025-04-28,2025-04,1,1,R-01,TR-02,tractor-trailer,D-13,6.26,261,15.8,4650,2477,2173,14:07,1.83,1.02,1.06,2.03,4.36,0
T000021,2025-05-03,2025-05,1,1,R-01,TR-04,tractor-trailer,D-04,6.26,288,37.4,5486,3116,2370,07:37,1.33,0.44,0.62,2.1,3.99,0
T000022,2025-05-11,2025-05,1,1,R-01,TR-05,tractor-trailer,D-13,6.26,288,19.6,5590,3195,2394,11:40,1.2,0.48,0.92,2.03,4.46,0
